index,latent_0,latent_1
89,7.588242530822754,-9.760513305664062
90,7.185789585113525,-10.466883659362793
91,7.173368453979492,-10.466134071350098
92,6.7311692237854,-9.804571151733398
93,2.381232976913452,-3.1019275188446045
94,6.979182243347168,-10.187990188598633
95,6.781726360321045,-9.88454818725586
96,3.4245598316192627,-6.069014549255371
97,6.912485122680664,-10.098845481872559
98,6.432567119598389,-9.284904479980469
99,6.80457067489624,-9.938573837280273
100,7.145563125610352,-10.368732452392578
101,7.1043901443481445,-10.37615966796875
102,6.259392261505127,-9.025240898132324
103,6.95659065246582,-10.13046932220459
104,7.358898162841797,-9.414366722106934
105,6.8874359130859375,-10.066487312316895
106,6.870290279388428,-10.02087688446045
107,0.4191654324531555,0.7633171677589417
108,6.83781099319458,-9.972736358642578
109,6.9647979736328125,-10.113410949707031
110,7.5840559005737305,-10.41135025024414
111,-0.4651017189025879,4.615231990814209
112,6.204113006591797,-8.300209999084473
113,6.497564792633057,-8.323723793029785
114,6.844882965087891,-9.994112968444824
115,7.064390182495117,-10.262614250183105
116,7.242455005645752,-10.497547149658203
117,6.941649913787842,-10.086710929870605
118,6.879196643829346,-9.988319396972656
119,6.334680080413818,-9.20522403717041
120,7.350876808166504,-10.685800552368164
121,7.139069080352783,-10.42372989654541
122,3.4251480102539062,-5.709649085998535
123,3.049481153488159,-4.330504417419434
124,7.179158687591553,-10.467694282531738
125,5.274849891662598,-7.478891849517822
126,6.757002353668213,-9.852228164672852
127,-2.8610565662384033,-4.761065483093262
128,7.1737589836120605,-10.438673973083496
129,6.179788112640381,-8.815566062927246
130,3.8884634971618652,-3.6956725120544434
131,5.897541046142578,-1.27425217628479
132,5.827732563018799,-7.707078456878662
133,2.2257604598999023,1.4879143238067627
134,-11.680185317993164,-3.500765323638916
135,6.87379264831543,-9.999767303466797
136,2.2479491233825684,-9.501055717468262
137,0.6599043607711792,-1.757896900177002
138,6.593479156494141,-9.785357475280762
139,5.801474094390869,-8.457093238830566
140,6.653415203094482,-9.70222282409668
141,6.685226917266846,-9.688843727111816
142,6.870816707611084,-10.022085189819336
143,5.646042823791504,-9.00224494934082
144,2.7285382747650146,-2.135004758834839
145,7.214320659637451,-10.469618797302246
146,9.53170108795166,-10.894124984741211
147,1.9701073169708252,-2.0234501361846924
148,8.48702621459961,-11.159693717956543
149,7.046935081481934,-10.30210018157959
150,8.490482330322266,-11.448298454284668
151,6.858565807342529,-9.979683876037598
152,7.189352989196777,-10.452892303466797
153,7.055205821990967,-8.739607810974121
154,16.112064361572266,-6.669778823852539
155,6.916415214538574,-9.914422035217285
156,7.367800712585449,-10.249082565307617
157,6.919735431671143,-10.075822830200195
158,3.965026617050171,-4.039353370666504
159,7.281399726867676,-10.568440437316895
160,7.010564804077148,-10.199277877807617
161,1.0139495134353638,-7.23752498626709
162,6.3191680908203125,-9.127452850341797
163,7.095057010650635,-10.346409797668457
164,7.175525665283203,-10.322325706481934
165,7.049398422241211,-10.226645469665527
166,7.2850117683410645,-10.573083877563477
167,7.04055118560791,-10.295482635498047
168,7.121341228485107,-10.346920013427734
169,7.2820258140563965,-10.600424766540527
170,6.953993797302246,-10.156170845031738
171,4.893263816833496,-0.14085356891155243
