evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still,assignment_geodesic_distance
12643,mutated_elite,2.907999999999999,-0.9713821390439786,0.5319892709515415,7.1147379875183105,12.131433486938477,8,19,True,True,False,141,0,7,0,5.491668701171875,1.296943187713623,3.0232948989928787,1.1836369037628174,True,False,1.768831684715566
12644,mutated_elite,0.44300000000000295,0.2806847171959484,0.4128348399471945,-5.6580939292907715,-6.654654502868652,5,8,False,False,False,146,0,76,0,3.913480758666992,1.5293611288070679,1.2071495718522485,2.5003433227539062,True,False,2.2421183811253007
12645,mutated_elite,1.9840000000000004,-0.45737119430747986,0.17041259339487608,-4.343123912811279,2.0395219326019287,5,13,False,False,False,148,0,8,0,3.531581401824951,0.9554257392883301,8.122496174398885,0.49006199836730957,True,False,1.4691024115715838
12646,mutated_elite,6.290999999999998,-0.952554412600767,0.8475709610349932,16.68300437927246,1.6356239318847656,11,13,False,False,False,187,1,13,0,7.714981555938721,1.6275554895401,4.017631713415593,1.1954314708709717,True,False,0.33612301535536926
12647,mutated_elite,2.3999999999999995,-0.47705048130559347,0.9746599058136899,2.029320478439331,10.720439910888672,7,18,False,False,False,145,0,16,0,4.217053413391113,1.7389427423477173,1.4523859961817407,1.1793102025985718,True,False,0.5811230082903762
12648,mutated_elite,12.746999999999929,-0.6001356366027178,0.47688618443599656,5.609939098358154,-4.90110445022583,8,9,False,False,False,274,3,8,5,6.972082138061523,1.2292650938034058,13.45710583904666,2.0075550079345703,True,False,0.8636276349243011
12649,mutated_elite,17.659999999999943,0.7874398224939839,-0.6234296742621285,15.992112159729004,-12.651999473571777,11,7,False,False,False,280,4,16,0,8.812573432922363,1.5311057567596436,11.178847367590846,3.2901129722595215,True,False,4.6419900618238215
12650,mutated_elite,13.199999999999912,0.5998036375140213,-0.08523382435122748,10.808236122131348,-10.411988258361816,9,7,False,False,False,280,3,11,0,7.034316062927246,1.4998812675476074,7.100674982320002,2.698016881942749,True,False,2.28126249249807
12651,mutated_elite,6.257999999999997,-0.5963771576358381,0.6358068380544895,0.6249390244483948,0.6295694708824158,7,12,False,False,False,181,1,7,0,6.782913684844971,1.3998687267303467,5.202950331078684,1.1716792583465576,True,False,1.3426218009925783
12652,mutated_elite,6.190999999999995,-0.9525095443821612,0.8406380672082946,11.288830757141113,3.600728988647461,10,14,False,False,False,192,1,26,0,6.4290008544921875,1.6003214120864868,2.8985070392927827,1.2013685703277588,True,False,1.975765524292933
12653,mutated_elite,-1.6869999999999983,-0.33969467218681076,0.970343116696305,1.6604039669036865,8.321432113647461,7,17,False,False,False,151,0,111,0,1.965433120727539,1.7578555345535278,6.987024277298547,0.770667552947998,True,False,0.6817854631604767
12654,mutated_elite,4.327999999999988,-0.3342603726496525,0.9704595672771171,3.2981514930725098,-3.2310361862182617,7,10,False,False,False,231,2,128,0,4.738254547119141,1.7572861909866333,3.5724982675950794,1.1519933938980103,True,False,1.550156565035709
12655,mutated_elite,2.337,-0.3334800545585905,0.43452032452649864,-9.189921379089355,1.0737664699554443,4,12,False,False,False,139,0,37,0,5.744029521942139,1.248012900352478,2.2140574253333623,1.85645592212677,True,False,1.0420031824196063
12656,mutated_elite,2.2420000000000004,-0.46255937908577727,0.20153893332797235,-2.6960339546203613,3.2688841819763184,6,14,False,False,False,154,0,2,0,2.182372570037842,1.0083833932876587,1.2566559213213626,0.5925244688987732,True,False,0.835157022557188
12657,mutated_elite,4.918999999999998,-0.880749480895818,-0.4741502045870983,2.3606748580932617,-2.9353883266448975,7,10,False,False,False,183,1,11,0,6.350747585296631,0.32952117919921875,6.895520384769868,0.3353635370731354,True,False,0.7770472887920845
12658,mutated_elite,17.859999999999896,0.0680231216607468,0.41465001566613774,16.952058792114258,-10.802558898925781,11,7,False,False,False,280,3,34,1,9.045734405517578,1.41213059425354,9.024962087461518,1.9214558601379395,True,False,2.804969582327759
12659,mutated_elite,4.2609999999999975,-0.09392938592234809,-0.7731990630675861,-0.37462732195854187,-4.102600574493408,6,10,False,False,False,182,1,18,0,5.776323318481445,0.6389474272727966,8.888725009328702,0.5152077078819275,True,False,1.769722432437127
12660,mutated_elite,6.626999999999997,-0.4373920460899727,0.6032119726539693,1.6217718124389648,1.5557786226272583,7,13,False,False,False,179,1,15,3,7.58245849609375,1.3988234996795654,5.759962275504006,1.90939199924469,True,False,0.35167756617283924
12661,mutated_elite,6.161999999999995,-0.022090597459567107,0.6647885843701146,7.912766933441162,-8.386175155639648,9,7,False,False,False,184,2,13,19,5.164714813232422,1.5868333578109741,6.384716339681479,1.8942420482635498,True,False,1.7406982703255434
12662,mutated_elite,1.259000000000001,-0.45375273259208837,-0.9232483304824123,-4.975485324859619,3.042117118835449,5,14,False,False,False,153,0,8,0,2.176661729812622,0.32107865810394287,6.802303177233386,0.07673241198062897,True,False,1.0237785741101384
12663,mutated_elite,7.428999999999996,-0.2766975506430545,-0.2583681674486807,1.5869313478469849,-1.4318921566009521,7,11,False,False,False,228,2,22,0,6.022118091583252,0.6628952622413635,8.100130188724743,0.43859806656837463,True,False,0.2918402416752895
12664,mutated_elite,5.920999999999998,-0.4323658144761037,0.796543482240402,-0.6389868259429932,1.486824870109558,6,13,False,False,False,182,1,13,0,6.251636505126953,1.5931282043457031,4.386042706763225,1.059972882270813,True,False,1.4494750562509906
12665,mutated_elite,16.28499999999993,-0.38905195812916993,0.3880525451591273,14.599944114685059,-7.526803016662598,10,8,False,False,False,280,4,12,8,9.277838706970215,1.180887222290039,8.329135806856561,2.0618999004364014,True,False,2.250043440919476
12666,mutated_elite,6.2709999999999955,-0.7883900196404265,0.7865129828030493,24.88030433654785,4.160955429077148,13,14,False,False,False,182,1,24,0,8.94311809539795,1.5313661098480225,3.403910377913452,1.1829943656921387,True,False,0.8968455836121576
12667,mutated_elite,3.797999999999997,-0.3020971981285333,-0.3348222215381563,0.7066277265548706,-3.500722885131836,7,10,False,False,False,201,1,24,0,1.493474006652832,0.6008417010307312,3.954685297152682,0.27639973163604736,True,False,1.1536423892637573
12668,mutated_elite,-3.444000000000005,-0.2750421844862187,-0.5336440266639818,-5.761774063110352,0.7953619360923767,5,12,False,False,False,157,0,142,0,0.5500164031982422,0.5069680213928223,1.1598477038832513,0.10614318400621414,False,False,0.7342460801764626
12669,mutated_elite,9.124999999999918,0.3318325262648441,0.12042000707017989,6.72556734085083,-10.962244033813477,8,6,False,False,False,235,2,9,0,5.051465034484863,1.3962557315826416,6.750023998634219,2.618756055831909,True,False,1.356953830382249
12670,mutated_elite,11.025999999999943,0.7289297960806373,-0.926675626827002,7.97290563583374,-12.965852737426758,9,5,False,False,False,237,2,8,3,7.106433868408203,1.4669283628463745,4.103317195463311,3.6271419525146484,True,False,1.5251081545323986
12671,mutated_elite,8.450999999999988,-0.8660894219810626,0.7139498798381666,2.493149757385254,-3.151266574859619,7,10,False,False,False,232,2,4,0,5.084917068481445,1.4848233461380005,7.839182963266387,0.9849777221679688,True,False,0.7846739768802439
12672,mutated_elite,4.677999999999996,-0.3977530272984511,0.5317152224668741,3.450200080871582,-3.3819823265075684,7,10,False,False,False,161,1,6,8,5.078629970550537,1.3286867141723633,6.0980056406738345,1.6545424461364746,True,False,1.697840672728393
12673,mutated_elite,7.656,-0.4619675785074872,-0.250214111772373,1.484838843345642,-1.7464576959609985,7,11,False,False,False,227,2,5,0,6.3407745361328125,0.5575206875801086,10.194238867493972,0.2956796884536743,True,False,0.3050098350365502
12674,mutated_elite,8.978999999999983,-0.5376122689392445,0.5104732098536786,8.353652954101562,3.5994203090667725,9,14,False,False,False,213,2,14,7,9.87419605255127,1.2704675197601318,7.172869778283073,1.864418387413025,True,False,1.2107521614722723
12675,mutated_elite,2.616999999999998,-0.5031739913137996,0.9746227017780316,-0.42014017701148987,9.234407424926758,6,17,False,False,False,144,0,16,0,4.468678951263428,1.7468191385269165,1.615554206647954,1.1963787078857422,True,False,1.7675672416621997
12676,mutated_elite,6.9719999999999995,-0.05809223919619501,0.8589750203736668,-11.502814292907715,-9.514766693115234,3,7,False,False,False,189,1,9,3,5.852156162261963,1.7413543462753296,7.395504195957104,3.2275946140289307,True,False,2.0957837727794333
12677,mutated_elite,15.48499999999997,-0.7821136583429301,0.20588870406447687,-9.526473999023438,-2.657505512237549,4,10,True,True,False,280,3,25,0,9.88102912902832,0.9506098628044128,7.022220697437567,3.7093353271484375,True,False,0.9958379138279582
12678,mutated_elite,3.2309999999999977,0.5156930112049793,-0.05483020795188811,-2.093672037124634,-0.768763542175293,6,12,False,False,False,132,0,8,2,6.213058948516846,1.4279707670211792,3.5106392174480345,1.4305100440979004,True,False,1.0645163150444041
12679,mutated_elite,3.1549999999999985,-0.9511134391465801,0.6130154096611328,10.87534236907959,13.120866775512695,9,19,False,False,False,135,0,14,0,6.962939262390137,1.3784104585647583,2.702473021014339,1.1782946586608887,True,False,2.0857328057243576
12680,mutated_elite,1.632000000000001,-0.28792072386495954,0.9748797492536021,1.068536639213562,7.100251197814941,7,16,False,False,False,154,0,13,0,1.9630351066589355,1.7912185192108154,0.5281906331301152,0.8354707956314087,False,False,1.1762399304263007
12681,mutated_elite,7.701999999999998,-0.2888816242117767,-0.4199994520320452,0.226114422082901,-1.2796764373779297,7,11,False,False,False,224,2,12,0,7.023170471191406,0.5560151934623718,10.745903229145119,0.46902474761009216,True,False,1.6436089658686954
12682,mutated_elite,10.645999999999967,0.5440211654078091,0.05546210926714509,-3.157757043838501,-3.6692795753479004,6,10,False,False,False,237,2,5,0,7.324709415435791,1.510520339012146,9.818174723072332,1.6851794719696045,True,False,1.2047310127621464
12683,mutated_elite,2.4579999999999984,-0.8278493587870208,-0.192984037526812,-0.40255841612815857,0.2556152045726776,6,12,False,False,False,141,0,16,0,5.358102321624756,0.5647546052932739,5.113161574941586,0.5859412550926208,True,False,1.62695834466997
12684,mutated_elite,1.8430000000000009,-0.8314799664722753,-0.5546718647771411,-2.310730218887329,3.859928607940674,6,14,False,False,False,151,0,5,0,2.810013771057129,0.2311486303806305,2.901753959442225,0.2520395517349243,True,False,0.8157923499131305
12685,mutated_elite,2.2920000000000003,-0.9708946200755512,0.43396206520404046,1.820845365524292,10.665042877197266,7,18,False,False,False,144,0,24,0,4.618753433227539,1.2060633897781372,2.373734346659828,1.1908987760543823,True,False,0.38756273851191925
12686,mutated_elite,1.3620000000000008,0.5957080606761609,-0.9663041378498444,-4.257137775421143,2.0222880840301514,5,13,False,False,False,144,0,48,0,4.670430660247803,1.3551193475723267,2.4893828061225207,1.3358442783355713,True,False,1.5560789901665883
12687,mutated_elite,2.930999999999998,0.32556999215483606,-0.009288369710139827,-12.232451438903809,-5.3142170906066895,3,9,False,False,False,132,0,6,3,5.603621959686279,1.3069103956222534,1.7809302378178786,1.762737512588501,True,False,1.1006076119484034
12688,mutated_elite,10.802999999999985,0.8077501305804822,0.402796725028333,4.132469654083252,5.274799346923828,8,15,False,False,False,241,2,11,0,8.076544761657715,1.930168628692627,4.193501799008307,3.0660400390625,True,False,1.4323294027257998
