pair_index,rollout_i,rollout_j,rollout_i_name,rollout_j_name,euclidean_final_xy,maze_geodesic_shortest_path,latent_euclidean_distance,shortest_path_touches_horseshoe_region
121,1,32,random_action,random_mlp_020,0.89659405,0.95866787,165.37440590187802,False
122,1,33,random_action,random_mlp_021,0.05674472,0.05508528,165.37440590187802,False
123,1,34,random_action,random_mlp_022,0.23147966,0.2431582,165.37440590187802,False
124,1,35,random_action,random_mlp_023,0.57317371,0.59750952,165.37440590187802,False
125,1,36,random_action,random_mlp_024,1.38205381,1.47520737,165.37440590187802,False
126,1,37,random_action,random_mlp_025,0.17656883,0.17266187,165.37440590187802,False
127,1,38,random_action,random_mlp_026,0.22284198,0.23719829,165.37440590187802,False
128,1,39,random_action,random_mlp_027,0.22924188,0.25158678,165.37440590187802,False
129,1,40,random_action,random_mlp_028,0.2376512,0.24911811,165.37440590187802,False
130,1,41,random_action,random_mlp_029,0.30631364,0.33051169,165.37440590187802,False
131,1,42,random_action,random_mlp_030,0.22556852,0.23719829,165.37440590187802,False
132,1,43,random_action,random_mlp_031,0.22883292,0.24911811,165.37440590187802,False
133,1,44,random_action,random_mlp_032,0.22454007,0.2431582,165.37440590187802,False
134,1,45,random_action,random_mlp_033,1.89663827,2.03364166,165.37440590187802,True
135,1,46,random_action,random_mlp_034,0.39889058,0.42773989,165.37440590187802,False
136,1,47,random_action,random_mlp_035,0.2305512,0.24911811,165.37440590187802,False
137,1,48,random_action,random_mlp_036,0.32061396,0.34140895,165.37440590187802,False
138,1,49,random_action,random_mlp_037,0.3282368,0.33093525,165.37440590187802,False
139,1,50,random_action,random_mlp_038,0.28396034,0.2898149,165.37440590187802,False
140,1,51,random_action,random_mlp_039,0.24092741,0.25158678,165.37440590187802,False
141,1,52,random_action,random_mlp_040,1.18684345,1.17985612,165.37440590187802,False
142,1,53,random_action,random_mlp_041,0.1265492,0.13298764,165.37440590187802,False
143,1,54,random_action,random_mlp_042,2.22803234,2.5748679,165.37440590187802,True
144,1,55,random_action,random_mlp_043,0.25254199,0.27789509,165.37440590187802,False
145,1,56,random_action,random_mlp_044,1.86340709,1.96339344,165.37440590187802,False
146,1,57,random_action,random_mlp_045,0.49295504,0.53195054,165.37440590187802,False
147,1,58,random_action,random_mlp_046,0.23475594,0.25754669,165.37440590187802,False
148,1,59,random_action,random_mlp_047,0.23429914,0.24911811,165.37440590187802,False
149,1,60,random_action,random_mlp_048,0.23847347,0.25754669,165.37440590187802,False
150,1,61,random_action,random_mlp_049,0.29521007,0.31859188,165.37440590187802,False
151,1,62,random_action,random_mlp_050,0.23019137,0.2431582,165.37440590187802,False
152,1,63,random_action,random_mlp_051,1.97714601,2.07952391,165.37440590187802,False
153,1,64,random_action,random_mlp_052,0.63754997,0.6723442,165.37440590187802,False
154,1,65,random_action,random_mlp_053,0.86822329,0.9259761,165.37440590187802,True
155,1,66,random_action,random_mlp_054,0.22786657,0.23719829,165.37440590187802,False
156,1,67,random_action,random_mlp_055,0.34726502,0.37861451,165.37440590187802,False
157,1,68,random_action,random_mlp_056,0.99728164,0.99280576,165.37440590187802,False
158,1,69,random_action,random_mlp_057,0.24737418,0.25754669,165.37440590187802,False
159,1,70,random_action,random_mlp_058,0.36546992,0.35971223,165.37440590187802,False
160,1,71,random_action,random_mlp_059,0.23401878,0.25754669,165.37440590187802,False
161,1,72,random_action,random_mlp_060,0.24482806,0.25754669,165.37440590187802,False
162,1,73,random_action,random_mlp_061,0.24875826,0.27193518,165.37440590187802,False
163,1,74,random_action,random_mlp_062,1.78874471,1.92721044,165.37440590187802,False
164,1,75,random_action,random_mlp_063,0.32959067,0.33442648,165.37440590187802,False
165,1,76,random_action,random_mlp_064,0.32499339,0.34285507,165.37440590187802,False
166,1,77,random_action,random_mlp_065,0.23313845,0.25158678,165.37440590187802,False
167,1,78,random_action,random_mlp_066,0.25233406,0.27789509,165.37440590187802,False
168,1,79,random_action,random_mlp_067,0.24284707,0.2635066,165.37440590187802,False
169,1,80,random_action,random_mlp_068,0.90223853,1.07028455,165.37440590187802,False
170,1,81,random_action,random_mlp_069,0.89991894,0.94325682,165.37440590187802,False
171,1,82,random_action,random_mlp_070,1.34353999,1.4320419,165.37440590187802,False
172,1,83,random_action,random_mlp_071,0.76284006,0.81827421,165.37440590187802,False
173,1,84,random_action,random_mlp_072,0.05652068,0.05755396,165.37440590187802,False
174,1,85,random_action,random_mlp_073,0.09494425,0.11017056,165.37440590187802,False
175,1,86,random_action,random_mlp_074,0.22277255,0.23719829,165.37440590187802,False
176,1,87,random_action,random_mlp_075,1.57775493,1.59218495,165.37440590187802,False
177,1,88,random_action,random_mlp_076,0.2407534,0.2635066,165.37440590187802,False
178,1,89,random_action,random_mlp_077,0.23533433,0.25754669,165.37440590187802,False
179,1,90,random_action,random_mlp_078,0.32716341,0.33093525,165.37440590187802,False
180,1,91,random_action,random_mlp_079,0.2432807,0.26597527,165.37440590187802,False
181,2,3,seek_nearest_food,safe_corner,0.71464207,0.75927414,4.230260878852626,True
182,2,4,seek_nearest_food,inside_horseshoe_route,0.27550338,2.31612321,15.776044492275751,True
183,2,5,seek_nearest_food,right_field_route,1.05547239,1.39628245,10.761840774333544,True
184,2,6,seek_nearest_food,diag_left_of_u_wall,0.10354758,0.09578208,3.2479567928019626,True
185,2,7,seek_nearest_food,diag_inside_left_wall,0.17559455,2.3259979,3.5150395466605064,True
186,2,8,seek_nearest_food,diag_below_u_bottom,0.40762434,0.54778515,5.523395135072174,True
187,2,9,seek_nearest_food,diag_inside_bottom,0.24875999,2.36175735,3.0244261209588337,True
188,2,10,seek_nearest_food,diag_right_outer_wall,0.73416955,1.40615715,8.744203501762664,True
189,2,11,seek_nearest_food,diag_inside_right_wall,0.55386826,0.99033708,7.822319526145346,True
190,2,12,seek_nearest_food,random_mlp_000,0.55167161,0.59401829,161.12738868883733,True
191,2,13,seek_nearest_food,random_mlp_001,0.65874014,0.68486302,161.12738868883733,True
192,2,14,seek_nearest_food,random_mlp_002,0.54062725,0.56524131,161.12738868883733,True
193,2,15,seek_nearest_food,random_mlp_003,0.47527774,0.48673996,161.12738868883733,True
