evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
13150,617,0.9872,15008.329999999967,11923.329999999967,-5.0,29.064999999999976,19.324683954619072,0.9979988936305829,nan,nan,5,nan,-1
13175,617,0.9872,15032.011999999966,11947.011999999966,-5.0,29.064999999999976,19.363066450567207,0.9979988936305829,nan,nan,5,nan,-1
13200,617,0.9872,15032.026999999965,11947.026999999965,-5.0,29.064999999999976,19.36309076175035,0.9979988936305829,nan,nan,5,nan,-1
13225,617,0.9872,15036.751999999968,11951.751999999968,-5.0,29.064999999999976,19.37074878444079,0.9979988936305829,nan,nan,5,nan,-1
13250,617,0.9872,15036.756999999967,11951.756999999967,-5.0,29.064999999999976,19.370756888168504,0.9979988936305829,nan,nan,5,nan,-1
13275,617,0.9872,15045.836999999967,11960.836999999967,-5.0,29.064999999999976,19.385473257698486,0.9979988936305829,nan,nan,5,nan,-1
13300,617,0.9872,15051.054999999968,11966.054999999968,-5.0,29.064999999999976,19.393930307941602,0.9979988936305829,nan,nan,5,nan,-1
13325,617,0.9872,15058.813999999968,11973.813999999966,-5.0,29.064999999999976,19.406505672609345,0.9979988936305829,nan,nan,5,nan,-1
13350,617,0.9872,15059.043999999969,11974.043999999967,-5.0,29.064999999999976,19.406878444084224,0.9979988936305829,nan,nan,5,nan,-1
13375,617,0.9872,15062.743999999968,11977.743999999966,-5.0,29.064999999999976,19.41287520259314,0.9979988936305829,nan,nan,5,nan,-1
13400,617,0.9872,15068.122999999967,11983.122999999967,-5.0,29.064999999999976,19.421593192868666,0.9979988936305829,nan,nan,5,nan,-1
13425,617,0.9872,15074.612999999968,11989.612999999968,-5.0,29.064999999999976,19.432111831442413,0.9979988936305829,nan,nan,5,nan,-1
13450,617,0.9872,15077.227999999968,11992.227999999968,-5.0,29.064999999999976,19.436350081037226,0.9979988936305829,nan,nan,5,nan,-1
13475,617,0.9872,15080.342999999968,11995.342999999968,-5.0,29.064999999999976,19.441398703403515,0.9979988936305829,nan,nan,5,nan,-1
13500,617,0.9872,15085.928999999967,12000.928999999967,-5.0,29.064999999999976,19.45045218800643,0.9979988936305829,nan,nan,5,nan,-1
13525,617,0.9872,15089.348999999967,12004.348999999967,-5.0,29.064999999999976,19.455995137763317,0.9979988936305829,nan,nan,5,nan,-1
13550,617,0.9872,15096.874999999967,12011.874999999967,-5.0,29.064999999999976,19.46819286871956,0.9979988936305829,nan,nan,5,nan,-1
13575,617,0.9872,15099.566999999966,12014.566999999966,-5.0,29.064999999999976,19.472555915721177,0.9979988936305829,nan,nan,5,nan,-1
13600,617,0.9872,15099.566999999966,12014.566999999966,-5.0,29.064999999999976,19.472555915721177,0.9979988936305829,nan,nan,5,nan,-1
13625,617,0.9872,15106.647999999968,12021.647999999968,-5.0,29.064999999999976,19.484032414910807,0.9979988936305829,nan,nan,5,nan,-1
13650,617,0.9872,15108.397999999968,12023.397999999968,-5.0,29.064999999999976,19.48686871961097,0.9979988936305829,nan,nan,5,nan,-1
