seed,window_start,window_end,window_midpoint,candidate_count,disagreement_count,disagreement_rate,mean_latent_0,mean_latent_1,mean_blowup_ratio_disagreements,mean_geodesic_gap_disagreements
1002,14001,15000,14500.5,1000,155,0.155,-1.447887546211481,-2.1529375593289735,1.2586417213835208,0.6785603386474774
1002,15001,16000,15500.5,1000,123,0.123,-1.327096616730094,-2.4157331765554844,1.2881624096325484,0.6532107818321757
1002,16001,17000,16500.5,1000,155,0.155,-1.5402112613022327,-2.0795068477354945,1.2920968209656114,0.761332866804856
1002,17001,18000,17500.5,1000,140,0.14,-2.234803141564131,-2.6201765147186817,1.2737081204782084,0.6154303732911857
1002,18001,19000,18500.5,1000,162,0.162,-1.97290306212008,-2.4482954535353927,1.2841932376562848,0.7003876623921114
1002,19001,20000,19500.5,1000,143,0.143,-1.8480144823491573,-2.4469699264559894,1.4128135728993196,2.004031328633532
1003,1,1000,500.5,1000,55,0.055,-3.5635150519013403,2.9392413114644587,1.1769323146351875,0.38191930837507165
1003,1001,2000,1500.5,1000,68,0.068,-3.3666235622391105,2.907087623376399,1.189858942698661,0.3649353777580132
1003,2001,3000,2500.5,1000,110,0.11,0.438654141779989,0.3999561190456152,1.1978570837799352,0.40476271081464027
1003,3001,4000,3500.5,1000,86,0.086,1.548038483992219,0.14157219699025153,1.403061420558537,2.8598055569919656
1003,4001,5000,4500.5,1000,112,0.112,1.9111244650557637,-0.12996350209414959,1.1952935396162965,0.3792775303140914
1003,5001,6000,5500.5,1000,101,0.101,1.8540937738716603,-0.4372137189731002,1.231777732309503,0.5643117135535113
1003,6001,7000,6500.5,1000,116,0.116,2.0337461627051234,-0.23876351728290318,1.2521812078372367,0.6200146723910694
1003,7001,8000,7500.5,1000,130,0.13,2.74415319307521,-0.3900533184371889,1.2174762853630512,0.5610111624880589
1003,8001,9000,8500.5,1000,110,0.11,1.8777699351124466,-0.714137627704069,1.252874733231734,0.6200990254011124
1003,9001,10000,9500.5,1000,8,0.008,2.4657378556504845,-0.6116059110183268,1.0215155294920892,0.03586329226373153
1003,10001,11000,10500.5,1000,143,0.143,2.799814789567143,0.15880001747235656,1.4359292290294714,1.9691796037793339
1003,11001,12000,11500.5,1000,144,0.144,2.7187096334621312,0.2673765904307365,1.2709304391405498,0.6172740513614953
