rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
5,1002,7456,2.9719999999999978,11.988790512084961,10.716476440429688,"(18,18)","(18,17)",468,467,1.1965745878450085,1.313639572179445,1.3468362332466786,3.2926945307181925,1.945858297471514,2.4447623619249055,1.0,False,False,True,7.300999999999997,-4.328999999999999,True,6.676999999999996,-3.7049999999999983,40
12,1003,13787,5.319999999999991,-15.477662086486816,-7.856418132781982,"(2,7)","(3,8)",57,83,1.8403984584493798,2.3304007060861127,2.4766829576295013,5.975098616113096,3.4984156584835944,2.412540772611453,1.4142135623730951,False,False,True,11.432999999999979,-6.112999999999987,True,12.569999999999988,-7.2499999999999964,41
6,1002,18911,19.914999999999946,-17.942705154418945,1.1352345943450928,"(8,14)","(9,13)",214,238,1.9456022825224863,2.042267877746233,2.0430265668407004,4.885387940223241,2.842361373382541,2.391250324158984,1.4142135623730951,False,False,True,27.009999999999895,-7.094999999999949,True,28.72499999999991,-8.809999999999963,42
12,1005,14487,15.054999999999975,10.638065338134766,4.144388198852539,"(13,16)","(12,16)",341,316,1.6191696882036257,2.0358965465504135,2.347278100103594,5.5398087520820845,3.1925306519784904,2.3600990235616277,1.0,False,False,True,19.479999999999983,-4.425000000000008,True,19.24999999999992,-4.194999999999943,43
7,1002,10058,10.507999999999994,2.681781530380249,15.26164436340332,"(15,19)","(15,20)",394,395,1.0221832634183805,1.3839231808638994,1.616231133024268,3.7734747997302818,2.1572436667060138,2.334737106981358,1.0,False,False,True,11.582999999999984,-1.0749999999999904,True,11.73899999999998,-1.2309999999999857,44
6,1004,6322,6.615999999999999,15.929068565368652,8.324085235595703,"(19,12)","(18,12)",487,462,1.3426242451476076,1.4415069239054215,1.5171618014820418,3.5311240452615027,2.013962243779461,2.327453829784087,1.0,False,False,True,18.659999999999975,-12.043999999999976,True,18.494999999999965,-11.878999999999966,45
8,1002,16643,4.159999999999996,-9.351250648498535,-22.9355411529541,"(11,3)","(11,4)",278,279,1.2758060648000593,1.4052419295804348,1.7530924132794126,4.075791908677177,2.322699495397764,2.3249156050209696,1.0,False,False,True,6.518999999999997,-2.359000000000001,True,7.268000000000001,-3.108000000000005,46
9,1002,7273,3.193999999999998,11.60396957397461,10.711586952209473,"(18,18)","(18,17)",468,467,1.3714914885968426,1.466776975575018,1.4732679174935757,3.4191262149650896,1.945858297471514,2.3207769438039088,1.0,False,False,True,7.300999999999997,-4.106999999999998,True,6.676999999999996,-3.482999999999998,47
9,1001,10900,17.324999999999942,-18.02442741394043,7.162688732147217,"(12,14)","(12,15)",314,315,0.7325789249872093,0.9278923778717326,0.9313170472607379,2.1599254519654654,1.2286084047047274,2.3192160589333204,1.0,False,False,True,24.72499999999994,-7.399999999999999,True,26.289999999999885,-8.964999999999943,48
10,1002,13514,19.559999999999935,-17.98838996887207,7.036230564117432,"(8,16)","(9,16)",216,241,1.5309592672372736,1.6579871854846429,2.0828126573342365,4.822565773647526,2.739753116313289,2.3154102490522894,1.0,True,True,True,23.62499999999993,-4.064999999999994,True,26.39499999999988,-6.834999999999944,49
7,1004,17891,17.849999999999877,2.5779545307159424,20.956186294555664,"(13,16)","(14,16)",341,366,1.2969742897300238,1.4657656908195094,1.721037593987501,3.9729467855791794,2.2519091915916785,2.308460198347087,1.0,False,False,True,21.48499999999993,-3.6350000000000513,True,26.479999999999862,-8.629999999999985,50
