evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still
11027,mutated_elite,9.458000000000034,-0.708903617116773,-0.2252953021312556,0.09987325966358185,0.42809581756591797,19,14,False,False,False,226,2,61,0,9.919944763183594,0.5222641825675964,3.3280139229841965,3.186335563659668,True,False
11028,mutated_elite,-2.074999999999998,0.9748706460714451,-0.9749782190737832,-1.394813060760498,3.2854912281036377,15,22,False,False,False,145,0,107,3,1.8076115846633911,1.7356736660003662,5.843228656329687,0.39496511220932007,True,False
11029,mutated_elite,-0.1720000000000007,-0.2573898598106894,-0.7987112008680065,-0.37365496158599854,1.047345519065857,18,16,False,False,False,146,0,82,0,4.054819107055664,0.4778425693511963,1.622014199564952,1.4137762784957886,True,False
11030,mutated_elite,8.053999999999995,-0.5968962874248632,-0.525591443820128,-3.2421977519989014,-1.896715521812439,11,7,False,False,False,183,1,8,0,8.928044319152832,0.2803347706794739,3.7078984198815967,2.3107078075408936,True,False
11031,mutated_elite,6.5529999999999955,0.21701982455288488,-0.7541369426246616,-7.650582313537598,-0.6008791923522949,1,11,True,True,False,176,1,11,2,6.633866310119629,0.952242910861969,4.275186611586176,3.771446704864502,True,False
11032,mutated_elite,0.7480000000000027,0.2754804241097813,0.11929364921412981,-4.126126766204834,-0.3052360713481903,9,12,False,False,False,146,0,66,0,3.7991414070129395,1.3352251052856445,1.2641418845426873,2.5742549896240234,True,False
11033,mutated_elite,3.4799999999999964,0.6392131317191846,-0.5310995142199553,-0.4915393590927124,2.0744664669036865,17,19,False,False,False,205,1,94,0,3.8752827644348145,1.3820221424102783,2.566473633464639,0.732204020023346,True,False
11034,mutated_elite,4.737999999999999,-0.7183081480534739,-0.2804731076401134,0.43902432918548584,-0.2907102704048157,20,12,False,False,False,191,1,9,0,4.018685340881348,0.4722237288951874,7.10164942264159,0.38119444251060486,True,False
11035,mutated_elite,8.31799999999996,0.012916088221305909,0.6935469887846847,-5.136141777038574,-0.8886649012565613,7,10,False,False,False,201,2,12,12,6.040745735168457,1.6145555973052979,8.04966025134572,3.255493640899658,True,False
11036,mutated_elite,7.1849999999999925,0.6401313395752967,0.7843173843381851,-2.9829981327056885,-2.001063585281372,12,7,False,False,False,240,2,63,0,5.470991134643555,2.0473244190216064,4.930719025983541,2.7694859504699707,True,False
