euclidean_final_xy,maze_geodesic_shortest_path,ratio,shortest_path_touches_horseshoe_region
0.54541814,0.57366989,1.05179834,true
0.56732063,0.59895564,1.05576214,true
0.54968783,0.57962980,1.05447087,true
1.61303495,1.73931296,1.07828597,true
0.50529275,0.54284780,1.07432335,true
0.28953467,0.28776978,0.99390441,true
0.53937686,0.56524131,1.04795246,true
0.79739605,0.84560507,1.06045807,true
0.79821001,0.97901627,1.22651465,true
0.54162847,0.57366989,1.05915757,true
0.49547688,0.48920863,0.98734907,true
0.54575096,0.57366989,1.05115691,true
0.53947647,0.57366989,1.06338261,true
0.54160292,0.56770999,1.04820334,true
1.34999265,1.45588153,1.07843663,true
0.36781624,0.38806565,1.05505306,true
0.83422241,0.88136452,1.05651024,true
0.53117372,0.55928141,1.05291619,true
0.54723723,0.58209848,1.06370409,true
0.55100963,0.58805838,1.06723793,true
0.52069500,0.60738422,1.16648753,true
0.44223132,0.47192791,1.06715173,true
1.06762356,1.14240244,1.07004237,true
0.67879921,0.72249214,1.06436796,true
0.65247946,0.66204595,1.01466174,true
0.58496065,0.58414359,0.99860323,true
0.53707962,0.56524131,1.05243485,true
1.28423230,1.53071621,1.19193094,true
0.54896292,0.58805838,1.07121695,true
0.54893529,0.57366989,1.04505923,true
0.85404714,0.89328433,1.04594265,true
0.52909952,0.55332150,1.04577963,true
0.95468916,2.95739720,3.09775928,true
1.69850735,1.81806243,1.07038832,true
0.61791589,0.67192064,1.08739824,true
0.81772595,2.96727190,3.62868744,true
0.88387775,0.92188587,1.04300155,true
0.89212847,3.00303134,3.36614226,true
1.44684643,1.83636571,1.26921950,true
1.20285039,1.42054564,1.18098281,true
0.16351364,0.16525585,1.01065478,false
0.08258287,0.09825075,1.18972310,false
0.17410465,0.19403283,1.11446087,false
0.62920292,0.67481288,1.07248847,false
0.18319931,0.19999273,1.09166753,false
0.74645709,0.75289067,1.00861882,true
0.12991539,0.14490745,1.11539865,false
0.17609488,0.19403283,1.10186525,false
0.27203293,0.28981490,1.06536698,false
0.15484171,0.16525585,1.06725667,false
0.69102149,0.74284053,1.07498904,false
0.15303564,0.16525585,1.07985203,false
0.43292976,0.46494545,1.07395123,false
1.83754909,1.86309757,1.01390356,false
0.18954764,0.20595264,1.08654817,false
0.17206597,0.18560424,1.07868072,false
1.03593252,1.11013423,1.07162794,true
1.64008308,1.67604721,1.02192824,false
0.80626982,0.82959503,1.02892978,false
0.75733571,0.78413633,1.03538803,true
0.88627816,0.94487838,1.06611944,false
0.27009419,0.30318083,1.12250036,false
0.16268165,0.17964434,1.10426922,false
0.36766801,0.38108319,1.03648721,false
1.23254687,1.25878103,1.02128451,false
0.42617999,0.46494545,1.09096029,false
0.17694679,0.19403283,1.09656033,false
0.17712704,0.19999273,1.12909204,false
0.16033140,0.16525585,1.03071419,false
0.15887385,0.17368443,1.09322225,false
0.17393664,0.19403283,1.11553739,false
0.15292225,0.16525585,1.08065271,false
0.16579301,0.17964434,1.08354593,false
2.04821570,2.23899530,1.09314429,true
0.28879658,0.30667206,1.06189645,false
0.15595711,0.16525585,1.05962369,false
0.21527203,0.22034113,1.02354743,false
0.14723928,0.15086736,1.02464066,false
0.40548580,0.43616847,1.07566890,false
0.18751418,0.19999273,1.06654727,false
1.42532542,1.47213969,1.03284462,false
0.20362874,0.20143885,0.98924568,false
2.25639366,2.56950699,1.13876716,true
0.16918964,0.17717566,1.04720161,false
1.77287925,1.86616525,1.05261836,false
0.53866672,0.56030396,1.04016814,false
0.17476566,0.18560424,1.06201782,false
0.16208195,0.16525585,1.01958208,false
0.17003439,0.18560424,1.09156888,false
0.16869591,0.18560424,1.10022967,false
0.16513166,0.17964434,1.08788547,false
1.83753193,1.86309757,1.01391303,false
0.52506798,0.55127638,1.04991429,false
0.90266998,0.91218661,1.01054276,true
0.17529580,0.19403283,1.10688803,false
0.09468286,0.08633094,0.91179054,false
1.23639537,1.28508933,1.03938381,false
0.17500069,0.18560424,1.06059147,false
0.61019034,0.65199581,1.06851217,false
0.16928204,0.18560424,1.09642017,false
0.17667139,0.18560424,1.05056198,false
0.17527263,0.19156415,1.09294961,false
