dataset,seed,match_type,target_cell_x,target_cell_y,control_cell_x,control_cell_y,target_fitness,control_fitness,fitness_difference_target_minus_control,target_depth,control_depth,absolute_depth_difference,target_assignment_count,control_assignment_count,match_distance_standardized
horseshoe,1002,depth_only,4,10,20,8,21.52999999999991,5.602999999999998,15.92699999999991,31.482437645739076,31.13796322507929,0.34447442065978606,4,3,0.07294060826044606
horseshoe,1002,depth_only,4,16,21,10,29.699999999999942,5.360999999999997,24.338999999999945,33.37184255430954,33.1620153167088,0.2098272376007344,4,1,0.044429790493275376
horseshoe,1002,depth_only,5,8,6,18,16.92999999999993,25.394999999999936,-8.465000000000007,29.633751297416918,29.63362665563063,0.00012464178628945888,14,1,2.639222874432427e-05
horseshoe,1002,depth_only,6,8,18,18,19.484999999999978,7.300999999999997,12.183999999999982,27.13265996175453,27.02242937973926,0.11023058201526936,28,35,0.023340733647789703
horseshoe,1002,depth_only,6,9,7,17,18.459999999999944,24.43499999999995,-5.975000000000005,26.3608297990103,26.266942251200607,0.09388754780969322,15,2,0.019880183939939764
horseshoe,1002,depth_only,6,15,16,20,27.869999999999912,10.553999999999975,17.31599999999994,26.75155217578771,26.7904709595843,0.038918783796589196,16,35,0.008240843420079826
horseshoe,1002,depth_only,7,9,12,5,19.98499999999993,8.110999999999992,11.873999999999937,23.993004499160232,23.98210803927771,0.010896459882523857,39,17,0.0023072668507418815
horseshoe,1002,depth_only,9,13,15,15,28.72499999999991,14.943999999999974,13.780999999999935,19.07778069600574,19.10003427382043,0.022253577814691283,19,286,0.00471207556911131
horseshoe,1002,depth_only,9,16,17,12,26.39499999999988,8.565999999999999,17.82899999999988,21.368970032699377,21.365101702186475,0.0038683305129012524,6,98,0.0008190982077073562
horseshoe,1002,depth_only,9,18,17,17,25.39999999999996,8.288999999999996,17.11099999999996,23.852585606626427,23.844810923291202,0.007774683335224353,10,35,0.0016462474352012745
horseshoe,1002,depth_only,10,18,17,9,24.809999999999935,7.6849999999999925,17.124999999999943,22.85280364585531,22.85076727708172,0.0020363687735915903,17,37,0.0004311901496310115
horseshoe,1002,depth_only,11,4,19,15,7.268000000000001,4.433999999999992,2.8340000000000085,26.89814722209412,26.881587657151893,0.016559564942227212,21,2,0.003506398928259863
horseshoe,1002,depth_only,11,5,18,16,9.934999999999944,5.394999999999998,4.539999999999946,24.817840818884623,24.849350202921677,0.03150938403705439,41,29,0.00667194281994199
horseshoe,1002,depth_only,11,15,15,12,24.95499999999995,12.409000000000011,12.545999999999937,18.07926629294154,18.162070075092707,0.08280378215116713,28,343,0.017533256097226026
horseshoe,1002,depth_only,11,17,16,10,22.92499999999995,8.964999999999984,13.959999999999967,20.32202593518706,20.313217881364615,0.008808053822445316,22,125,0.0018650580852109977
