dataset,seed,scope,depth_metric,n,pearson_r,pearson_p,spearman_rho,spearman_p,mean_depth,mean_fitness
open_robustness,1001,per_seed,bulk_depth,264,0.021280953449330647,0.7307163509698794,-0.32160256702906814,9.129514705277827e-08,22.527941411432128,18.44327651515149
open_robustness,1001,per_seed,median_bulk_depth,264,0.028585893786497077,0.6438258171300663,-0.29582085736914093,9.896923965196856e-07,20.16248304696078,18.44327651515149
open_robustness,1002,per_seed,home_depth,196,0.6364129991268388,1.1944465372747384e-23,0.7143080269983824,6.764275212639459e-32,26.713383058177367,21.4841683673469
open_robustness,1002,per_seed,bulk_depth,196,-0.0648829869678495,0.36625842278265336,-0.05641131892038347,0.43225863706067313,27.117049714906397,21.4841683673469
open_robustness,1002,per_seed,median_bulk_depth,196,0.02736233339887087,0.7034305446745518,0.026880443704229057,0.7084142156179358,26.937933742896156,21.4841683673469
open_robustness,1003,per_seed,home_depth,198,0.40317863081075167,3.88085152847604e-09,0.39504876909112757,8.42971847452612e-09,17.126459474568275,18.49308585858583
open_robustness,1003,per_seed,bulk_depth,198,-0.08408387786428786,0.23889203024344471,-0.07820137381314701,0.27347210650602516,19.80932837031624,18.49308585858583
open_robustness,1003,per_seed,median_bulk_depth,198,-0.04182903392542742,0.5584695954483629,-0.06742529267832229,0.3452588640108145,19.441474640440692,18.49308585858583
horseshoe,,pooled_raw,home_depth,981,0.3649834493026195,2.8149116608391707e-32,0.4725340533982101,1.0295259786666108e-55,21.82108129553042,16.0968450560652
horseshoe,,pooled_within_seed_z,home_depth,981,0.42974520786398784,2.3235426171176327e-45,0.47338636426764974,6.181358206860872e-56,2.897218086687463e-17,-7.243045216718657e-18
horseshoe,,pooled_raw,bulk_depth,981,0.15987249141764684,4.819129978814429e-07,-0.04538202267124915,0.1555127226777013,27.51508646999212,16.0968450560652
horseshoe,,pooled_within_seed_z,bulk_depth,981,0.09956605383154019,0.0017945271451145562,-0.07012628416714614,0.02806878345747921,-7.967349738390522e-17,-7.243045216718657e-18
horseshoe,,pooled_raw,median_bulk_depth,981,0.16424193776765028,2.3059196663132525e-07,-0.055775057889362815,0.08080085185874815,25.17877536876837,16.0968450560652
horseshoe,,pooled_within_seed_z,median_bulk_depth,981,0.12123325942185484,0.00014103644639553554,-0.03874783835635775,0.22531110617568958,1.5210394955109177e-16,-7.243045216718657e-18
open_robustness,,pooled_raw,home_depth,658,0.3570979091407909,3.1923117601945055e-21,0.4622283694471545,3.865133277897293e-36,19.921575625320024,19.364062310030363
open_robustness,,pooled_within_seed_z,home_depth,658,0.3703040266991513,8.158312654072726e-23,0.4252209240419365,2.827724784341978e-30,1.5117930548087238e-16,-1.0798521820062313e-17
open_robustness,,pooled_raw,bulk_depth,658,0.036479296237403654,0.35015904321838615,-0.014259416132867875,0.7150377633477121,23.07684695146254,19.364062310030363
open_robustness,,pooled_within_seed_z,bulk_depth,658,-0.03609042789088786,0.355322384691195,-0.11358890674480837,0.003526969032377784,-6.479113092037387e-17,-1.0798521820062313e-17
open_robustness,,pooled_raw,median_bulk_depth,658,0.0645929693768112,0.09782595996405413,0.01983000168939283,0.6116270902728884,21.963742426766792,19.364062310030363
open_robustness,,pooled_within_seed_z,median_bulk_depth,658,0.007032742535834802,0.8571057072833764,-0.08439253946222111,0.030422729084286157,9.718669638056082e-17,-1.0798521820062313e-17
all_maps,,pooled_raw,home_depth,1639,0.3326699452418427,1.1995915330860367e-43,0.43010059541839163,8.881797002160224e-75,21.058497567038383,17.408516168395327
all_maps,,pooled_within_seed_z,home_depth,1639,0.4058816952303926,4.968050157602633e-66,0.4575609546866363,1.343158866402512e-85,6.719592681074773e-17,-1.5173273795975295e-17
all_maps,,pooled_raw,bulk_depth,1639,0.08367014563510575,0.0006971132993526379,-0.11837236158683598,1.5436424552149948e-06,25.733291715146198,17.408516168395327
all_maps,,pooled_within_seed_z,bulk_depth,1639,0.045104818338338466,0.06791280959465922,-0.09191896210052866,0.00019427177169325504,-7.369875843759429e-17,-1.5173273795975295e-17
all_maps,,pooled_raw,median_bulk_depth,1639,0.10359841552059418,2.642769873492504e-05,-0.07771228958574217,0.0016410498760895996,23.888054395103314,17.408516168395327
all_maps,,pooled_within_seed_z,median_bulk_depth,1639,0.07538582799354415,0.0022582682021332155,-0.061635051054564544,0.012569557171415367,1.2030238509666126e-16,-1.5173273795975295e-17
