dataset,seed,cell_x,cell_y,centroid_index,fitness,home_depth,bulk_depth,median_bulk_depth,centroid_to_home_euclidean,high_blowup_target,high_blowup_touch_count,any_disagreement_target,any_disagreement_touch_count,geodesic_assignment_count,log_geodesic_assignment_count
horseshoe,1001,15,8,383,17.849999999999973,7.5208603123663345,19.683130568917893,15.405154241114735,7.221553558349612,False,0,True,13,126,4.844187086458591
horseshoe,1001,15,9,384,22.189999999999973,7.810106964553373,19.299584109784984,15.078895767641612,7.406478612425674,False,0,True,6,59,4.0943445622221
horseshoe,1001,15,10,385,20.67999999999998,8.56920657844668,18.929171766947615,14.645454588099343,7.93543914077475,False,0,True,12,37,3.6375861597263857
horseshoe,1001,15,11,386,21.99999999999996,9.293399638595554,18.79636514725554,14.267492397663403,8.746235907976349,False,0,True,13,26,3.295836866004329
horseshoe,1001,15,12,387,20.254999999999946,10.051668005843844,18.79701751631536,14.647439973157331,9.768944161956492,False,0,True,5,8,2.1972245773362196
horseshoe,1001,15,13,388,14.499999999999927,11.427056118762899,18.947398239200897,14.975183936500313,10.944317100727972,False,0,True,1,11,2.4849066497880004
horseshoe,1001,15,14,389,22.659999999999943,12.354030863634588,19.292589442687348,15.318368301839127,12.228412114561879,False,0,True,15,49,3.912023005428146
horseshoe,1001,15,15,390,17.83999999999996,13.690616015589386,19.79696237857167,15.832417174521673,13.590446209240321,False,0,True,17,53,3.9889840465642745
horseshoe,1001,15,16,391,17.854999999999958,15.100544403868554,20.5825430783717,16.944379774329175,15.009216260996423,True,2,True,9,24,3.2188758248682006
horseshoe,1001,15,17,392,21.254999999999946,16.64164683350676,21.533858209579552,17.925118985569227,16.47006668635189,False,0,True,5,7,2.0794415416798357
horseshoe,1001,15,18,393,18.10999999999997,18.19357873456883,22.55665725815982,19.124372258917326,17.962733639867043,False,0,True,3,8,2.1972245773362196
horseshoe,1001,16,3,403,8.246999999999998,9.143167888449284,24.735289738128042,20.635329296991063,8.981366819933521,False,0,False,0,0,0.0
horseshoe,1001,16,4,404,10.459999999999939,7.594389888729441,23.52524445953659,19.125761648433798,7.5046081304982115,False,0,True,9,84,4.442651256490317
horseshoe,1001,16,5,405,11.969999999999912,6.151250233202451,22.53980524487983,17.940709752773284,6.114206057280939,False,0,True,15,189,5.247024072160486
horseshoe,1001,16,6,406,13.141999999999921,4.967955973827208,21.49655419388339,16.63323642432104,4.884472080978246,False,0,True,20,245,5.5053315359323625
horseshoe,1001,16,7,407,15.894999999999968,4.032079651791553,20.764754658310533,15.887381149359816,3.967719570387375,False,0,True,11,152,5.030437921392435
horseshoe,1001,16,8,408,16.614999999999945,3.635081634871322,20.190535740604837,15.04562719226238,3.610776779174806,False,0,True,17,90,4.51085950651685
horseshoe,1001,16,9,409,20.699999999999953,4.03995998823765,19.586339811003853,14.831090158357618,3.967719570387375,True,2,True,20,80,4.394449154672439
