dataset,seed,match_type,target_cell_x,target_cell_y,control_cell_x,control_cell_y,target_fitness,control_fitness,fitness_difference_target_minus_control,target_depth,control_depth,absolute_depth_difference,target_assignment_count,control_assignment_count,match_distance_standardized
horseshoe,1001,depth_plus_assignment_count,19,5,20,14,10.376999999999986,10.986999999999979,-0.6099999999999923,27.160872572406944,27.233736661656426,0.07286408924948162,82,82,0.003012756159391415
horseshoe,1001,depth_plus_assignment_count,20,12,19,18,10.99599999999996,19.83999999999996,-8.844000000000001,26.72312853806193,27.0237293232669,0.3006007852049706,27,27,0.012429124915612856
horseshoe,1002,depth_plus_assignment_count,3,8,4,8,19.999999999999922,20.49999999999995,-0.5000000000000284,34.99550720511287,32.27365318347238,2.721854021640489,20,16,0.5957114324162165
horseshoe,1002,depth_plus_assignment_count,4,9,4,8,22.56999999999995,20.49999999999995,2.0700000000000003,31.603796246317067,32.27365318347238,0.6698569371553162,11,16,0.28602768993351974
horseshoe,1002,depth_plus_assignment_count,4,10,20,8,21.52999999999991,5.602999999999998,15.92699999999991,31.482437645739076,31.13796322507929,0.34447442065978606,4,3,0.1750474303848788
horseshoe,1002,depth_plus_assignment_count,4,16,4,7,29.699999999999942,16.49499999999991,13.205000000000034,33.37184255430954,34.29585039419095,0.924007839881412,4,3,0.25219365505273406
horseshoe,1002,depth_plus_assignment_count,5,8,20,10,16.92999999999993,5.886999999999996,11.042999999999932,29.633751297416918,29.25836277274053,0.3753885246763886,14,18,0.1863722088367282
horseshoe,1002,depth_plus_assignment_count,6,8,18,18,19.484999999999978,7.300999999999997,12.183999999999982,27.13265996175453,27.02242937973926,0.11023058201526936,28,35,0.1559481234833813
horseshoe,1002,depth_plus_assignment_count,6,9,6,10,18.459999999999944,21.209999999999905,-2.749999999999961,26.3608297990103,25.71576178427121,0.6450680147390919,15,18,0.18350727085009552
horseshoe,1002,depth_plus_assignment_count,6,15,19,9,27.869999999999912,8.014999999999988,19.854999999999926,26.75155217578771,27.358096336207364,0.6065441604196522,16,16,0.12843246796988017
horseshoe,1002,depth_plus_assignment_count,7,9,18,10,19.98499999999993,8.636999999999976,11.347999999999953,23.993004499160232,24.09924998613625,0.1062454869760181,39,40,0.02856877129073287
horseshoe,1002,depth_plus_assignment_count,9,13,9,12,28.72499999999991,21.67499999999995,7.049999999999958,19.07778069600574,18.834165805134152,0.24361489087158716,19,23,0.1398751411835096
horseshoe,1002,depth_plus_assignment_count,9,16,9,8,26.39499999999988,15.441999999999942,10.952999999999937,21.368970032699377,21.316481834393894,0.05248819830548257,6,7,0.09586938862478753
horseshoe,1002,depth_plus_assignment_count,9,18,7,15,25.39999999999996,29.039999999999903,-3.6399999999999437,23.852585606626427,23.953066299611084,0.10048069298465734,10,10,0.021276247016234963
horseshoe,1002,depth_plus_assignment_count,10,18,18,13,24.809999999999935,5.922999999999995,18.88699999999994,22.85280364585531,23.360374351226945,0.5075707053716343,17,18,0.11418197631855631
horseshoe,1002,depth_plus_assignment_count,11,4,19,10,7.268000000000001,7.894999999999991,-0.62699999999999,26.89814722209412,26.470535742592286,0.4276114795018344,21,21,0.09054443390679955
horseshoe,1002,depth_plus_assignment_count,11,5,17,18,9.934999999999944,6.919999999999996,3.0149999999999473,24.817840818884623,25.019204418895278,0.20136360001065512,41,36,0.09994005646630995
horseshoe,1002,depth_plus_assignment_count,11,15,10,14,24.95499999999995,26.394999999999893,-1.4399999999999444,18.07926629294154,18.17934510838343,0.1000788154418899,28,27,0.03279130151110198
horseshoe,1002,depth_plus_assignment_count,11,17,8,10,22.92499999999995,21.189999999999962,1.7349999999999888,20.32202593518706,21.04281142369349,0.7207854885064293,22,21,0.15587959780055693
horseshoe,1002,depth_plus_assignment_count,12,15,10,14,22.82499999999996,26.394999999999893,-3.569999999999933,17.65441337227086,18.17934510838343,0.5249317361125705,27,27,0.11115147549686463
horseshoe,1002,depth_plus_assignment_count,13,6,15,18,11.33999999999995,14.948999999999952,-3.6090000000000018,22.644044545719446,22.286634210473757,0.35741033524568877,21,25,0.14113471701658276
horseshoe,1002,depth_plus_assignment_count,13,7,12,7,10.948999999999947,10.936999999999978,0.01199999999996848,20.752157750894337,20.600343306767392,0.1518144441269449,53,57,0.060250386378943054
horseshoe,1002,depth_plus_assignment_count,15,20,18,17,11.73899999999998,6.676999999999996,5.061999999999983,25.653346754140944,25.85999851804966,0.20665176390871665,38,45,0.1255899414246982
horseshoe,1002,depth_plus_assignment_count,17,19,19,10,7.210999999999996,7.894999999999991,-0.6839999999999948,26.619774737359617,26.470535742592286,0.14923899476733027,24,21,0.09648148482027624
horseshoe,1003,depth_plus_assignment_count,3,6,11,21,10.713999999999976,4.048999999999998,6.664999999999978,35.12124149295062,32.32114459703811,2.800096895912503,34,30,0.13078363401505425
horseshoe,1003,depth_plus_assignment_count,3,8,3,9,12.569999999999988,11.009999999999946,1.5600000000000414,33.862555514841205,33.70390517643023,0.15865033841097187,65,62,0.0321691225983164
horseshoe,1003,depth_plus_assignment_count,4,8,6,16,7.767999999999997,15.124999999999943,-7.356999999999946,30.850965798908152,28.308701782968882,2.5422640159392706,94,98,0.09626253275383434
horseshoe,1003,depth_plus_assignment_count,4,12,5,15,15.649999999999952,15.029999999999974,0.6199999999999779,30.74856803053199,29.72391833414797,1.0246496963840208,16,14,0.09289541262903254
horseshoe,1003,depth_plus_assignment_count,5,8,6,6,14.75699999999996,14.439999999999925,0.3170000000000357,28.36338193838203,28.06935661534374,0.29402532303829076,21,20,0.03339532609307161
horseshoe,1003,depth_plus_assignment_count,6,4,12,17,13.463999999999919,11.11499999999998,2.348999999999938,28.8780411124825,29.549334257706974,0.6712931452244746,1,1,0.02431447583248014
horseshoe,1003,depth_plus_assignment_count,8,4,6,7,17.939999999999966,15.234999999999964,2.705000000000002,25.867559300976303,26.368228959066258,0.5006696580899543,40,40,0.01813443260710426
horseshoe,1003,depth_plus_assignment_count,8,6,10,13,18.02499999999994,14.487999999999914,3.5370000000000275,24.130203122240623,23.23359712591474,0.8966059963258814,48,50,0.04237376406085971
horseshoe,1003,depth_plus_assignment_count,9,2,7,3,17.43499999999994,15.037999999999924,2.3970000000000145,27.385622208265964,28.012867217659835,0.6272450093938708,3,3,0.02271903672850883
horseshoe,1003,depth_plus_assignment_count,10,6,12,9,18.784999999999933,22.10999999999996,-3.3250000000000277,23.464499688258996,24.443281043658253,0.9787813553992564,9,9,0.03545180787326428
horseshoe,1003,depth_plus_assignment_count,10,12,11,6,19.339999999999932,21.13999999999995,-1.8000000000000185,23.277278222475044,23.95906561511296,0.681787392637915,18,20,0.07243514137655908
horseshoe,1003,depth_plus_assignment_count,11,4,11,5,18.179999999999936,20.66999999999991,-2.4899999999999736,25.461777615275295,24.630214779810206,0.831562835465089,7,7,0.0301195008617934
horseshoe,1003,depth_plus_assignment_count,11,9,12,9,21.66499999999996,22.10999999999996,-0.4450000000000003,23.082067578671253,24.443281043658253,1.3612134649869994,9,9,0.04930363453391965
horseshoe,1003,depth_plus_assignment_count,12,14,6,8,19.044999999999927,14.184999999999912,4.860000000000015,25.966722395023595,26.05308867872531,0.08636628370171451,33,33,0.0031282174304107565
horseshoe,1003,depth_plus_assignment_count,13,4,6,6,21.389999999999937,14.439999999999925,6.950000000000012,27.680720380587093,28.06935661534374,0.3886362347566461,19,20,0.036057509655066294
horseshoe,1003,depth_plus_assignment_count,13,14,6,6,16.75499999999999,14.439999999999925,2.3150000000000635,28.503729897686732,28.06935661534374,0.43437328234299244,20,20,0.01573315436175364
horseshoe,1003,depth_plus_assignment_count,14,4,9,20,23.494999999999923,5.973999999999999,17.520999999999923,29.621215984864783,29.844605604922396,0.22338962005761331,20,21,0.03266955785105145
horseshoe,1003,depth_plus_assignment_count,14,6,14,5,23.559999999999974,24.72499999999992,-1.1649999999999459,28.778686739809764,29.018608725104766,0.23992198529500186,15,14,0.044762948163893514
horseshoe,1003,depth_plus_assignment_count,15,3,5,15,24.879999999999857,15.029999999999974,9.849999999999882,32.520930508635246,29.72391833414797,2.797012174487275,12,14,0.14051075844492525
horseshoe,1003,depth_plus_assignment_count,15,4,4,14,24.364999999999963,7.649999999999997,16.714999999999968,31.85481823796698,31.7912140265567,0.06360421141028283,9,9,0.002303767098146283
horseshoe,1003,depth_plus_assignment_count,15,6,14,3,21.649999999999892,21.64499999999992,0.0049999999999705835,31.118618122565042,30.280239926797332,0.8383781957677101,5,5,0.030366355629411076
horseshoe,1003,depth_plus_assignment_count,15,8,3,12,21.22999999999991,7.973999999999996,13.255999999999915,32.65148050909424,33.8561405499183,1.2046600408240593,2,2,0.04363321398012575
horseshoe,1003,depth_plus_assignment_count,16,3,3,4,25.509999999999923,3.959999999999997,21.549999999999926,36.03448623684936,37.547629957358645,1.5131437205092837,8,7,0.09708715157133002
horseshoe,1003,depth_plus_assignment_count,18,1,15,11,27.129999999999942,18.999999999999936,8.130000000000006,43.060730454879085,38.811732724233,4.2489977306460815,3,3,0.15390020495369489
horseshoe,1003,depth_plus_assignment_count,18,8,18,7,22.47999999999993,22.48499999999994,-0.005000000000009663,189.8218250551856,189.78187822011293,0.03994683507266927,2,2,0.0014468885357583942
horseshoe,1003,depth_plus_assignment_count,19,7,18,7,25.184999999999928,22.48499999999994,2.6999999999999886,189.91191245734453,189.78187822011293,0.13003423723159813,2,2,0.004709886196596618
horseshoe,1003,depth_plus_assignment_count,20,0,17,2,28.16499999999995,25.25499999999994,2.910000000000011,50.23513468709168,39.33174573700264,10.903388950089038,7,6,0.405240399453381
horseshoe,1003,depth_plus_assignment_count,21,1,19,0,25.64499999999994,28.06999999999994,-2.4250000000000007,53.78273357699865,46.776456243260434,7.006277333738218,1,1,0.25376985020436404
horseshoe,1003,depth_plus_assignment_count,21,7,19,6,31.539999999999957,25.31499999999994,6.225000000000016,199.04648230931824,189.93254233083647,9.113939978481767,1,1,0.33011013879989515
horseshoe,1004,depth_plus_assignment_count,5,3,4,3,8.080999999999994,7.937999999999995,0.1429999999999989,32.42691668279272,33.89013857750478,1.4632218947120563,44,51,0.271680046129055
horseshoe,1004,depth_plus_assignment_count,5,5,19,16,8.080999999999992,19.314999999999948,-11.233999999999956,28.641386021145824,28.94377490868916,0.30238888754333715,8,7,0.0967225860738655
horseshoe,1004,depth_plus_assignment_count,7,12,6,8,6.333999999999991,7.0189999999999975,-0.6850000000000067,24.477885506708514,24.272473308944498,0.20541219776401576,5,6,0.11230945131721816
horseshoe,1004,depth_plus_assignment_count,8,4,7,4,6.363999999999997,13.685999999999964,-7.321999999999967,26.949074359030934,27.77270745087716,0.8236330918462258,45,36,0.20706175403769225
horseshoe,1004,depth_plus_assignment_count,8,5,6,7,7.868999999999996,7.160999999999998,0.7079999999999984,25.017980846733632,24.770278287744656,0.2477025589889763,26,27,0.04960843525072879
horseshoe,1004,depth_plus_assignment_count,8,9,15,8,18.22499999999999,10.262999999999996,7.961999999999994,20.99935403815798,20.835697648910926,0.16365638924705195,109,95,0.0982572681231545
horseshoe,1004,depth_plus_assignment_count,8,12,7,9,11.365999999999973,15.141999999999967,-3.7759999999999945,22.48400197719894,22.413746959403127,0.07025501779581234,18,17,0.0392951254700717
horseshoe,1004,depth_plus_assignment_count,9,11,16,10,15.183999999999912,11.946999999999985,3.2369999999999273,20.32361739336376,20.490103075797126,0.1664856824333647,70,75,0.05513097440422596
horseshoe,1004,depth_plus_assignment_count,10,5,17,8,4.897999999999997,6.204,-1.3060000000000027,23.971758628329415,23.42653674802166,0.5452218803077535,31,33,0.10304106216157392
horseshoe,1004,depth_plus_assignment_count,12,13,16,11,18.824999999999868,15.908,2.9169999999998684,20.00711185267937,20.278363776449766,0.27125192377039653,35,42,0.131454549340893
horseshoe,1004,depth_plus_assignment_count,13,11,12,11,22.449999999999967,17.014999999999937,5.435000000000031,18.48652972044679,18.56254170282248,0.07601198237568951,49,46,0.044741876538098156
horseshoe,1004,depth_plus_assignment_count,14,16,19,12,26.479999999999862,18.659999999999975,7.819999999999887,25.01934468491421,24.99800506010357,0.02133962481063989,22,24,0.05775858474673048
horseshoe,1004,depth_plus_assignment_count,15,16,18,8,24.154999999999916,2.795999999999998,21.358999999999916,25.013494639270075,25.714879718907845,0.7013850796377703,11,12,0.13313802666939956
horseshoe,1004,depth_plus_assignment_count,15,18,7,3,26.83999999999987,3.8389999999999973,23.00099999999987,30.0093310092206,29.960861675482917,0.04846933373768181,18,22,0.1323396118823007
horseshoe,1004,depth_plus_assignment_count,16,8,14,7,6.944999999999999,5.3999999999999995,1.545,21.939272027198562,21.395403962584997,0.5438680646135658,81,89,0.1138348714341054
horseshoe,1004,depth_plus_assignment_count,17,16,13,16,24.314999999999912,21.48499999999993,2.829999999999984,26.384022934319265,25.29142297608986,1.0925999582294068,4,3,0.24367985644184786
horseshoe,1004,depth_plus_assignment_count,17,17,8,3,22.869999999999937,3.7669999999999977,19.102999999999938,28.382307949573292,29.379221441645157,0.9969134920718652,2,2,0.17211843829764847
horseshoe,1004,depth_plus_assignment_count,17,19,18,19,25.324999999999935,25.68499999999991,-0.35999999999997456,34.20345003015991,34.21846273034221,0.015012700182303718,1,1,0.0025919626231948583
horseshoe,1004,depth_plus_assignment_count,19,14,7,4,23.244999999999948,13.685999999999964,9.558999999999983,26.793658215508188,27.77270745087716,0.9790492353689721,37,36,0.1700365033476286
horseshoe,1004,depth_plus_assignment_count,20,17,21,16,22.069999999999947,22.029999999999955,0.03999999999999204,32.166537231262424,32.2820224173088,0.11548518604637792,5,4,0.12760462384332671
horseshoe,1004,depth_plus_assignment_count,21,17,3,5,23.744999999999955,4.350999999999997,19.393999999999956,34.34987207394288,32.55150697255977,1.7983651013831121,14,14,0.3104901229651931
horseshoe,1005,depth_plus_assignment_count,3,11,8,4,4.045999999999998,6.467999999999992,-2.4219999999999944,32.74294592163755,30.029258885138564,2.7136870364989853,6,6,0.1416750648579928
horseshoe,1005,depth_plus_assignment_count,5,16,6,17,9.588000000000005,7.085999999999995,2.5020000000000095,28.497344672212712,27.017242515711086,1.4801021565016264,72,69,0.08212259758848556
horseshoe,1005,depth_plus_assignment_count,7,7,15,12,13.817999999999994,28.15499999999987,-14.336999999999875,25.886504493887077,24.4789800029559,1.407524490931177,8,7,0.1071912135735021
horseshoe,1005,depth_plus_assignment_count,7,8,12,7,15.414999999999997,13.474999999999921,1.9400000000000759,24.511537102584196,24.005356718833173,0.5061803837510226,3,3,0.026426458811657675
horseshoe,1005,depth_plus_assignment_count,8,5,15,8,8.36900000000002,18.00499999999993,-9.635999999999912,27.91080308057101,28.308411456517653,0.39760837594664267,9,9,0.020758175755962067
horseshoe,1005,depth_plus_assignment_count,8,8,12,18,14.501000000000012,16.174999999999947,-1.6739999999999355,23.009037594798528,23.303402392596585,0.2943647977980568,15,15,0.015368077180246069
horseshoe,1005,depth_plus_assignment_count,9,11,12,15,19.005000000000003,24.509999999999984,-5.504999999999981,19.684073806963116,20.078532653996376,0.39445884703325973,50,51,0.02428232912947931
horseshoe,1005,depth_plus_assignment_count,9,19,6,15,11.039999999999978,10.323000000000004,0.7169999999999739,24.9892797196934,24.925124369253854,0.06415535043954534,115,120,0.028160522421070786
horseshoe,1005,depth_plus_assignment_count,11,8,13,10,13.473999999999922,18.264999999999976,-4.791000000000054,22.200853250878833,21.604623984701018,0.596229266177815,48,49,0.03388376747312989
horseshoe,1005,depth_plus_assignment_count,11,20,5,12,11.252999999999984,6.911999999999996,4.340999999999988,26.924001049314978,26.52617883207569,0.39782221723928757,57,59,0.030592669334847594
horseshoe,1005,depth_plus_assignment_count,12,16,8,10,19.24999999999992,18.53999999999992,0.7099999999999973,20.838609006789287,21.18505308143515,0.3464440746458628,69,68,0.02044573406599068
horseshoe,1005,depth_plus_assignment_count,14,9,13,18,18.234999999999918,20.664999999999928,-2.4300000000000104,24.91394300722104,24.331274571110463,0.582668436110577,41,47,0.0935572208763942
horseshoe,1005,depth_plus_assignment_count,14,14,13,16,25.899999999999885,19.479999999999983,6.419999999999902,22.649279259144798,22.07642970931054,0.5728495498342596,19,18,0.04527070117968669
horseshoe,1005,depth_plus_assignment_count,14,18,6,8,20.07999999999996,16.234999999999967,3.8449999999999918,25.808747157258686,26.48145260992798,0.6727054526692946,28,28,0.035120331620924324
horseshoe,1005,depth_plus_assignment_count,15,13,8,7,22.53499999999995,15.472999999999995,7.061999999999955,24.701190291493134,24.28526963717714,0.41592065431599323,9,9,0.021714215708536138
horseshoe,1005,depth_plus_assignment_count,16,8,16,14,20.774999999999903,24.60499999999997,-3.830000000000066,31.396287590125258,28.11635479668534,3.2799327934399187,17,15,0.18818177717888734
horseshoe,1005,depth_plus_assignment_count,16,9,5,15,23.79499999999993,7.046999999999996,16.747999999999934,31.239677834054824,27.489083269331886,3.750594564722938,19,20,0.19846004070688916
horseshoe,1005,depth_plus_assignment_count,17,8,5,17,24.01499999999993,7.707999999999997,16.30699999999993,34.848404018094996,29.49689398589499,5.351510032200007,11,11,0.27938945084775946
horseshoe,1005,depth_plus_assignment_count,17,16,16,17,23.01499999999996,23.46999999999996,-0.4549999999999983,32.09498254850808,29.79233391258037,2.3026486359277065,7,7,0.12021573985963524
horseshoe,1005,depth_plus_assignment_count,18,17,16,17,25.414999999999925,23.46999999999996,1.9449999999999648,35.80768075647768,29.79233391258037,6.015346843897309,7,7,0.31404677208170473
open_robustness,1001,depth_plus_assignment_count,3,5,11,3,29.689999999999955,3.1139999999999985,26.575999999999958,25.618154858576975,26.60165608062512,0.9835012220481438,3,3,0.06115204989216186
open_robustness,1001,depth_plus_assignment_count,4,5,19,20,25.62999999999994,11.47899999999997,14.150999999999968,24.78889184261272,25.057879644960487,0.2689878023477661,2,2,0.016725099207602564
open_robustness,1001,depth_plus_assignment_count,5,5,15,5,27.569999999999922,11.595999999999995,15.973999999999927,23.87846935863071,24.141728551676124,0.263259193045414,8,8,0.016368906257337997
open_robustness,1001,depth_plus_assignment_count,5,14,5,12,28.864999999999952,26.14999999999991,2.7150000000000425,19.420642692731086,19.405202430674596,0.015440262056490184,8,8,0.0009600432154626456
open_robustness,1001,depth_plus_assignment_count,6,16,6,10,27.90499999999997,27.054999999999943,0.8500000000000263,19.594870322795703,19.045356972157176,0.5495133506385272,6,6,0.0341675913372798
open_robustness,1001,depth_plus_assignment_count,7,13,8,9,26.304999999999957,25.99499999999997,0.30999999999998806,17.202764809895296,18.473272820347404,1.270508010452108,5,5,0.07899753198248224
open_robustness,1001,depth_plus_assignment_count,7,15,8,17,29.14499999999997,25.33499999999997,3.8100000000000023,18.19400235850712,18.762986786672766,0.5689844281656455,28,29,0.04364980573293565
open_robustness,1001,depth_plus_assignment_count,8,8,5,12,25.824999999999964,26.14999999999991,-0.324999999999946,19.637505594683958,19.405202430674596,0.23230316400936246,8,8,0.014444125088145745
open_robustness,1001,depth_plus_assignment_count,8,21,11,4,11.58899999999999,19.78999999999996,-8.20099999999997,24.36621901408645,24.610081688011736,0.24386267392528538,6,6,0.015162871248557586
open_robustness,1001,depth_plus_assignment_count,9,2,12,3,20.97499999999995,17.438,3.536999999999953,29.348797881601122,26.77951929120386,2.5692785903972606,3,3,0.15975237145068386
open_robustness,1001,depth_plus_assignment_count,10,5,13,21,22.44499999999994,3.2109999999999994,19.23399999999994,23.138158161391647,23.247244845983506,0.10908668459185833,11,11,0.006782781992725674
open_robustness,1001,depth_plus_assignment_count,10,9,8,10,24.240000000000013,27.759999999999998,-3.5199999999999854,17.46229345558947,17.27823550110545,0.18405795448402174,19,18,0.04034080647925386
open_robustness,1001,depth_plus_assignment_count,11,5,13,21,19.549999999999926,3.2109999999999994,16.338999999999928,22.767810391085952,23.247244845983506,0.47943445489755376,11,11,0.02981023210612895
open_robustness,1001,depth_plus_assignment_count,11,6,8,7,16.924999999999994,24.11499999999994,-7.189999999999948,21.05914166858869,20.906111862722145,0.15302980586654513,8,8,0.00951507340667109
open_robustness,1001,depth_plus_assignment_count,11,10,16,12,20.48999999999998,9.601999999999956,10.888000000000025,16.613886495323563,17.21654716533441,0.6026606700108488,17,17,0.03747218054675998
open_robustness,1001,depth_plus_assignment_count,12,2,10,2,16.67499999999998,7.455999999999995,9.218999999999983,28.749108039447858,28.905914573165116,0.1568065337172584,2,2,0.00974990244885059
open_robustness,1001,depth_plus_assignment_count,12,4,15,21,6.6649999999999965,6.261,0.40399999999999636,24.581238924241415,23.80992022241191,0.7713187018295038,5,5,0.04795898437096848
open_robustness,1001,depth_plus_assignment_count,12,5,15,6,15.656000000000018,9.139999999999995,6.516000000000023,22.72019223897993,22.19270027195275,0.5274919670271814,12,12,0.032798347741942874
open_robustness,1001,depth_plus_assignment_count,12,6,8,19,18.56499999999995,18.47000000000001,0.09499999999994202,20.988521000857638,21.350812916623937,0.36229191576629916,20,19,0.043143558564726577
open_robustness,1001,depth_plus_assignment_count,12,7,14,7,20.799999999999986,9.746999999999993,11.052999999999994,19.47234833825593,20.20468933113672,0.7323409928807898,12,12,0.04553543191482599
open_robustness,1001,depth_plus_assignment_count,13,19,16,17,15.868999999999966,20.444999999999972,-4.576000000000006,19.955193959193476,18.764203353620633,1.1909906055728428,97,99,0.07560443785349667
open_robustness,1001,depth_plus_assignment_count,14,4,11,4,7.923999999999997,19.78999999999996,-11.865999999999964,25.798491398861234,24.610081688011736,1.1884097108494984,7,6,0.12490594386495638
open_robustness,1001,depth_plus_assignment_count,15,4,11,4,6.650999999999998,19.78999999999996,-13.138999999999962,27.05670717944955,24.610081688011736,2.446625491437814,7,6,0.1824381590128865
open_robustness,1001,depth_plus_assignment_count,15,7,4,14,7.632999999999997,28.64999999999996,-21.01699999999996,20.702990945318625,20.668481704063193,0.03450924125543153,9,8,0.0794878157084099
open_robustness,1001,depth_plus_assignment_count,16,6,13,6,8.72399999999999,5.745999999999996,2.9779999999999935,22.88650143832427,21.321317861922516,1.565183576401754,4,4,0.09731984262834709
open_robustness,1001,depth_plus_assignment_count,16,11,15,10,10.64599999999995,15.182999999999982,-4.537000000000033,17.753798999404495,17.563736780295155,0.19006221910933974,33,33,0.011817671442629275
open_robustness,1001,depth_plus_assignment_count,16,13,9,16,15.346999999999987,25.784999999999975,-10.437999999999988,17.040055916704535,17.217006400437338,0.17695048373280287,75,73,0.022924927297706447
open_robustness,1001,depth_plus_assignment_count,19,16,18,16,13.176999999999998,14.099999999999971,-0.9229999999999734,20.679717237827237,19.58681883627656,1.092898401550677,44,45,0.06994652883136394
open_robustness,1001,depth_plus_assignment_count,20,13,19,17,7.462999999999998,7.944999999999997,-0.48199999999999843,21.817377665059457,21.376055319905838,0.441322345153619,21,22,0.043322360547512276
open_robustness,1001,depth_plus_assignment_count,20,17,19,17,4.379999999999997,7.944999999999997,-3.5649999999999995,22.583040024781088,21.376055319905838,1.20698470487525,21,22,0.08219498749428711
open_robustness,1002,depth_plus_assignment_count,3,3,4,3,32.079999999999956,32.27999999999995,-0.19999999999999574,43.538149901821264,41.63257663219109,1.9055732696301746,17,21,0.35913539971542935
open_robustness,1002,depth_plus_assignment_count,3,4,4,3,31.299999999999923,32.27999999999995,-0.9800000000000288,41.69276514081989,41.63257663219109,0.06018850862879788,17,21,0.1494043317044513
open_robustness,1002,depth_plus_assignment_count,5,4,22,8,28.78999999999995,0.22799999999998813,28.561999999999962,37.19019665586756,37.1094549988084,0.08074165705915703,6,6,0.013844669057143051
open_robustness,1002,depth_plus_assignment_count,5,8,7,4,33.72999999999993,26.359999999999953,7.36999999999998,32.72415291961582,32.65953294888315,0.06461997073267156,8,7,0.08818184010461684
open_robustness,1002,depth_plus_assignment_count,6,6,21,11,28.244999999999955,1.5620000000000007,26.682999999999954,31.555335285607025,32.12526978529199,0.5699344996849653,17,16,0.10654914264941116
open_robustness,1002,depth_plus_assignment_count,6,8,7,5,29.014999999999958,26.529999999999955,2.485000000000003,29.901287046711843,30.96969179890459,1.0684047521927482,20,21,0.1864279710137595
open_robustness,1002,depth_plus_assignment_count,6,9,6,7,28.54999999999997,26.264999999999965,2.2850000000000037,29.715971824661715,30.524905923659347,0.8089340989976321,4,4,0.1387068992336251
open_robustness,1002,depth_plus_assignment_count,8,8,17,7,28.390000000000015,12.249999999999984,16.14000000000003,25.80130170114502,26.470491469907692,0.6691897687626707,21,23,0.13169336293403858
