dataset,seed,depth_metric,bin_index,depth_low,depth_high,touched_count,control_count,touched_mean_fitness,control_mean_fitness,difference_touched_minus_control,touched_mean_assignment_count,control_mean_assignment_count
horseshoe,1005,bulk_depth,1,21.065055208462766,23.434570302086755,3,35,17.95833333333327,14.593457142857105,3.364876190476167,27.333333333333332,48.05714285714286
horseshoe,1005,bulk_depth,2,23.434570302086755,25.981110861488673,6,32,16.8538333333333,13.16743749999997,3.6863958333333287,34.0,39.0625
horseshoe,1005,bulk_depth,3,25.981110861488673,29.42143088023594,3,35,9.73666666666667,11.914142857142831,-2.1774761904761615,46.0,22.542857142857144
horseshoe,1005,bulk_depth,4,29.42143088023594,208.8127882236258,6,33,20.176833333333274,14.923636363636332,5.253196969696942,11.166666666666666,5.818181818181818
open_robustness,1001,bulk_depth,0,15.405386556134015,17.189822903377227,2,51,17.918499999999984,22.232372549019583,-4.3138725490195995,46.0,74.01960784313725
open_robustness,1001,bulk_depth,1,17.189822903377227,18.880173388521655,4,49,22.58399999999997,20.863326530612216,1.720673469387755,21.25,71.38775510204081
open_robustness,1001,bulk_depth,2,18.880173388521655,20.66769039671892,5,47,23.852799999999966,18.95576595744678,4.897034042553187,26.2,23.23404255319149
open_robustness,1001,bulk_depth,3,20.66769039671892,23.244542562387913,10,43,13.45179999999998,15.467674418604625,-2.0158744186046444,16.1,20.53488372093023
open_robustness,1001,bulk_depth,4,23.244542562387913,130.3014339464347,9,44,17.040999999999972,14.170818181818158,2.8701818181818144,4.777777777777778,5.454545454545454
open_robustness,1002,bulk_depth,0,19.465790137470826,21.85122129067917,3,36,25.668333333333294,24.648833333333304,1.01949999999999,47.333333333333336,35.416666666666664
open_robustness,1002,bulk_depth,1,21.85122129067917,24.65221310694599,5,34,26.355999999999955,21.798647058823498,4.5573529411764575,22.8,93.38235294117646
open_robustness,1002,bulk_depth,2,24.65221310694599,27.26216752196168,6,33,20.392999999999958,20.51827272727269,-0.12527272727273342,27.333333333333332,91.18181818181819
open_robustness,1002,bulk_depth,3,27.26216752196168,31.695540156171596,3,36,28.603333333333296,17.00641666666663,11.596916666666665,13.666666666666666,40.0
open_robustness,1002,bulk_depth,4,31.695540156171596,46.690722818657754,4,36,31.47499999999994,20.838833333333287,10.636166666666654,12.0,16.444444444444443
open_robustness,1003,bulk_depth,0,14.312592136561229,16.342989073715543,1,39,23.689999999999987,20.725128205128183,2.9648717948718044,58.0,130.7948717948718
open_robustness,1003,bulk_depth,1,16.342989073715543,18.33092622496865,3,36,23.049999999999997,18.847138888888857,4.20286111111114,24.333333333333332,60.138888888888886
open_robustness,1003,bulk_depth,2,18.33092622496865,20.537113836053287,5,35,17.22759999999996,16.097114285714255,1.1304857142857045,12.2,34.714285714285715
open_robustness,1003,bulk_depth,3,20.537113836053287,23.062518208396746,6,33,25.512333333333302,15.493212121212089,10.019121212121213,16.5,20.0
open_robustness,1003,bulk_depth,4,23.062518208396746,29.40741592943326,9,31,22.19533333333329,18.33448387096771,3.8608494623655822,16.333333333333332,13.580645161290322
