evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
4500,561,0.8976,8628.278999999982,5823.278999999983,-5.0,27.08499999999996,10.380176470588205,0.9832191811533878,nan,nan,5,nan,-1
4525,562,0.8992,8656.088999999982,5846.088999999984,-5.0,27.08499999999996,10.40229359430602,0.9834958218919394,nan,nan,5,nan,-1
4550,562,0.8992,8666.646999999983,5856.646999999983,-5.0,27.08499999999996,10.421080071174346,0.9834958218919394,nan,nan,5,nan,-1
4575,563,0.9008,8707.655999999983,5892.655999999983,-5.0,27.08499999999996,10.466529307282386,0.9837719708244744,nan,nan,5,nan,-1
4600,563,0.9008,8723.854999999981,5908.854999999982,-5.0,27.08499999999996,10.495301953818796,0.9837719708244744,nan,nan,5,nan,-1
4625,563,0.9008,8730.965999999982,5915.965999999982,-5.0,27.08499999999996,10.507932504440465,0.9837719708244744,nan,nan,5,nan,-1
4650,564,0.9024,8755.081999999982,5935.081999999982,-5.0,27.08499999999996,10.523195035460962,0.9840476296965344,nan,nan,5,nan,-1
4675,565,0.904,8789.021999999983,5964.021999999983,-5.0,27.08499999999996,10.555791150442447,0.9843228002443847,nan,nan,5,nan,-1
4700,566,0.9056,8818.047999999982,5988.0479999999825,-5.0,27.08499999999996,10.579590106007036,0.9845974841950795,nan,nan,5,nan,-1
4725,566,0.9056,8825.840999999982,5995.840999999982,-5.0,27.08499999999996,10.593358657243785,0.9845974841950795,nan,nan,5,nan,-1
4750,566,0.9056,8835.978999999981,6005.978999999982,-5.0,27.08499999999996,10.61127031802117,0.9845974841950795,nan,nan,5,nan,-1
4775,566,0.9056,8838.925999999981,6008.925999999982,-5.0,27.08499999999996,10.61647703180209,0.9845974841950795,nan,nan,5,nan,-1
4800,566,0.9056,8850.877999999982,6020.877999999982,-5.0,27.08499999999996,10.637593639575941,0.9845974841950795,nan,nan,5,nan,-1
4825,566,0.9056,8854.920999999982,6024.920999999982,-5.0,27.08499999999996,10.644736749116577,0.9845974841950795,nan,nan,5,nan,-1
4850,567,0.9072,8870.548999999983,6035.548999999982,-5.0,27.08499999999996,10.644707231040533,0.9848716832665272,nan,nan,5,nan,-1
4875,567,0.9072,8881.293999999982,6046.293999999982,-5.0,27.08499999999996,10.663657848324483,0.9848716832665272,nan,nan,5,nan,-1
4900,568,0.9088,8915.658999999981,6075.6589999999815,-5.0,27.08499999999996,10.69658274647884,0.9851453991675548,nan,nan,5,nan,-1
4925,569,0.9104,8959.346999999982,6114.346999999982,-5.0,27.08499999999996,10.745776801405944,0.9854186335979714,nan,nan,5,nan,-1
4950,569,0.9104,8964.465999999982,6119.465999999982,-5.0,27.08499999999996,10.754773286467456,0.9854186335979714,nan,nan,5,nan,-1
4975,570,0.912,8977.959999999981,6127.959999999982,-5.0,27.08499999999996,10.750807017543828,0.9856913882486323,nan,nan,5,nan,-1
5000,571,0.9136,9005.852999999981,6150.852999999981,-5.0,27.08499999999996,10.772071803852857,0.9859636648015009,1.052907206886417,1.272424884937202,5,1.0,0
5025,571,0.9136,9022.17099999998,6167.170999999982,-5.0,27.08499999999996,10.800649737302946,0.9859636648015009,nan,nan,5,nan,-1
5050,571,0.9136,9036.43799999998,6181.437999999982,-5.0,27.08499999999996,10.825635726795065,0.9859636648015009,nan,nan,5,nan,-1
5075,571,0.9136,9038.392999999982,6183.392999999982,-5.0,27.08499999999996,10.829059544658461,0.9859636648015009,nan,nan,5,nan,-1
5100,572,0.9152,9064.817999999981,6204.817999999981,-5.0,27.08499999999996,10.847583916083883,0.9862354649297117,nan,nan,5,nan,-1
5125,572,0.9152,9094.978999999981,6234.978999999981,-5.0,27.08499999999996,10.900312937062903,0.9862354649297117,nan,nan,5,nan,-1
5150,573,0.9168,9112.967999999983,6247.967999999982,-5.0,27.08499999999996,10.903958115183213,0.9865067902976317,nan,nan,5,nan,-1
5175,574,0.9184,9148.02199999998,6278.021999999981,-5.0,27.08499999999996,10.937320557491256,0.9867776425609212,nan,nan,5,nan,-1
5200,574,0.9184,9151.593999999981,6281.593999999981,-5.0,27.08499999999996,10.943543554006935,0.9867776425609212,nan,nan,5,nan,-1
5225,574,0.9184,9160.174999999981,6290.174999999981,-5.0,27.08499999999996,10.958493031358852,0.9867776425609212,nan,nan,5,nan,-1
5250,574,0.9184,9164.284999999982,6294.284999999981,-5.0,27.08499999999996,10.965653310104496,0.9867776425609212,nan,nan,5,nan,-1
5275,577,0.9232,9225.66399999998,6340.663999999981,-5.0,27.08499999999996,10.98901906412475,0.9875873771502861,nan,nan,5,nan,-1
5300,577,0.9232,9249.73999999998,6364.739999999981,-5.0,27.08499999999996,11.030745233968771,0.9875873771502861,nan,nan,5,nan,-1
5325,577,0.9232,9259.85899999998,6374.85899999998,-5.0,27.08499999999996,11.04828249566721,0.9875873771502861,nan,nan,5,nan,-1
5350,579,0.9264,9304.32499999998,6409.324999999981,-5.0,27.08499999999996,11.069645941278033,0.9881248646541785,nan,nan,5,nan,-1
5375,580,0.928,9349.45599999998,6449.45599999998,-5.0,27.08499999999996,11.119751724137897,0.9883929125785714,nan,nan,5,nan,-1
5400,581,0.9296,9357.947999999978,6452.94799999998,-5.0,27.08499999999996,11.106623063683271,0.9886604987492055,nan,nan,5,nan,-1
5425,581,0.9296,9368.110999999979,6463.110999999981,-5.0,27.08499999999996,11.12411531841649,0.9886604987492055,nan,nan,5,nan,-1
5450,581,0.9296,9390.09199999998,6485.0919999999805,-5.0,27.08499999999996,11.16194836488809,0.9886604987492055,nan,nan,5,nan,-1
5475,581,0.9296,9404.42299999998,6499.42299999998,-5.0,27.08499999999996,11.18661445783129,0.9886604987492055,nan,nan,5,nan,-1
5500,581,0.9296,9409.72099999998,6504.7209999999795,-5.0,27.08499999999996,11.195733218588606,0.9886604987492055,nan,nan,5,nan,-1
5525,581,0.9296,9434.946999999978,6529.94699999998,-5.0,27.08499999999996,11.239151462994803,0.9886604987492055,nan,nan,5,nan,-1
5550,581,0.9296,9436.50099999998,6531.50099999998,-5.0,27.08499999999996,11.241826161789984,0.9886604987492055,nan,nan,5,nan,-1
5575,581,0.9296,9443.61199999998,6538.611999999979,-5.0,27.08499999999996,11.254065404475007,0.9886604987492055,nan,nan,5,nan,-1
5600,582,0.9312,9460.30199999998,6550.30199999998,-5.0,27.08499999999996,11.254814432989656,0.988927624754229,nan,nan,5,nan,-1
5625,582,0.9312,9462.200999999981,6552.20099999998,-5.0,27.08499999999996,11.258077319587594,0.988927624754229,nan,nan,5,nan,-1
5650,582,0.9312,9476.18999999998,6566.1899999999805,-5.0,27.08499999999996,11.282113402061823,0.988927624754229,nan,nan,5,nan,-1
5675,582,0.9312,9493.79099999998,6583.790999999979,-5.0,27.08499999999996,11.312355670103058,0.988927624754229,nan,nan,5,nan,-1
5700,582,0.9312,9500.80899999998,6590.808999999979,-5.0,27.08499999999996,11.324414089347043,0.988927624754229,nan,nan,5,nan,-1
5725,584,0.9344,9540.61899999998,6620.61899999998,-5.0,27.08499999999996,11.336676369862978,0.9894605025791959,nan,nan,5,nan,-1
5750,584,0.9344,9545.38999999998,6625.389999999979,-5.0,27.08499999999996,11.344845890410923,0.9894605025791959,nan,nan,5,nan,-1
5775,585,0.936,9574.15799999998,6649.157999999979,-5.0,27.08499999999996,11.366082051282016,0.9897262575347633,nan,nan,5,nan,-1
5800,586,0.9376,9595.698999999979,6665.69899999998,-5.0,27.08499999999996,11.374912969283242,0.989991558596078,nan,nan,5,nan,-1
5825,586,0.9376,9602.155999999979,6672.15599999998,-5.0,27.08499999999996,11.3859317406143,0.989991558596078,nan,nan,5,nan,-1
5850,586,0.9376,9605.72799999998,6675.727999999979,-5.0,27.08499999999996,11.392027303754231,0.989991558596078,nan,nan,5,nan,-1
5875,586,0.9376,9621.65799999998,6691.657999999979,-5.0,27.08499999999996,11.419211604095528,0.989991558596078,nan,nan,5,nan,-1
5900,586,0.9376,9629.708999999977,6699.70899999998,-5.0,27.08499999999996,11.432950511945359,0.989991558596078,nan,nan,5,nan,-1
5925,587,0.9392,9651.30899999998,6716.308999999979,-5.0,27.08499999999996,11.441752981260612,0.990256407310948,nan,nan,5,nan,-1
