evaluation,source,fitness,descriptor_x,descriptor_y,cell_x,cell_y,inserted,replaced,steps,food_collected,wall_collisions,hazard_contacts
1095,mutated_elite,5.7929999999999975,-0.7955220334321432,0.21650391579952374,2,15,False,False,186,1,6,0
1096,mutated_elite,4.396000000000001,-0.7688351360192135,-0.4009549825977825,2,7,False,False,202,1,2,0
1097,mutated_elite,5.2299999999999995,-0.6528914612242017,-0.9040235785326206,4,1,True,True,190,1,5,0
1098,mutated_elite,-2.890000000000002,0.5581904075898849,-0.9722920975588858,19,0,False,False,155,0,136,0
1099,mutated_elite,10.838999999999963,-0.8301717097922626,-0.8818933670312341,2,1,True,True,263,3,14,0
1100,mutated_elite,5.180999999999998,-0.48999418786002213,0.3374401968357979,6,16,True,True,192,1,3,0
1101,mutated_elite,2.0910000000000006,0.868682483354214,-0.5513821762608596,23,5,True,False,152,0,11,0
1102,mutated_elite,7.760999999999998,-0.789937309690963,-0.3085393912851611,2,8,False,False,232,2,7,0
1103,mutated_elite,-1.6039999999999985,-0.9726111266932946,-0.4207025385433875,0,7,False,False,152,0,114,0
1104,mutated_elite,5.458999999999995,-0.3022626308258304,0.30289952401331743,8,16,False,False,178,1,24,0
1105,mutated_elite,-3.4130000000000047,-0.2780864173644259,-0.3870636073564946,9,7,False,False,154,0,143,0
1106,mutated_elite,9.81899999999996,0.21414517797465552,0.601386154376806,15,20,True,False,233,2,8,0
1107,mutated_elite,1.5750000000000024,-0.8014896637042052,-0.9694563465257837,2,0,False,False,140,0,32,0
1108,mutated_elite,9.861999999999966,-0.5386861622501962,0.23072649674061307,5,15,True,True,234,2,7,0
1109,mutated_elite,10.10799999999997,0.4311721860943085,0.4704521925816952,17,18,True,False,231,2,7,0
1110,mutated_elite,2.666999999999998,-0.4430294449505267,0.11603713303465316,6,13,False,False,139,0,16,0
1111,mutated_elite,1.6040000000000012,-0.7508100218440171,-0.8532685259044206,3,1,True,True,148,0,6,0
