evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
4600,log,268,0.4288,4118.939999999991,2778.9399999999914,-5.0,20.599999999999913,10.36917910447758,0.8684688824148388,nan,nan,20,nan,-1
4700,log,271,0.4336,4193.496999999992,2838.496999999991,-5.0,20.599999999999913,10.474158671586684,0.8701980327416148,nan,nan,20,nan,-1
4800,log,276,0.4416,4281.067999999991,2901.067999999991,-5.0,20.819999999999947,10.511115942028953,0.8730378510247877,nan,nan,20,nan,-1
4900,log,279,0.4464,4344.482999999991,2949.482999999991,-5.0,21.029999999999948,10.571623655913946,0.8747171509873233,nan,nan,20,nan,-1
5000,log,281,0.4496,4395.391999999991,2990.3919999999907,-5.0,21.804999999999946,10.641964412811355,0.8758266823735912,24.910168014718018,25.114439146842948,20,1.0,0
5100,log,282,0.4512,4461.656999999991,3051.656999999991,-5.0,21.804999999999946,10.821478723404224,0.876378490178186,nan,nan,20,nan,-1
5200,log,288,0.4608,4566.10399999999,3126.1039999999903,-5.0,21.804999999999946,10.854527777777744,0.879648794834734,nan,nan,20,nan,-1
5300,log,289,0.4624,4587.828999999991,3142.8289999999906,-5.0,21.804999999999946,10.874840830449795,0.8801872138612941,nan,nan,20,nan,-1
5400,log,291,0.4656,4634.931999999991,3179.9319999999902,-5.0,21.804999999999946,10.927601374570413,0.8812584852358807,nan,nan,20,nan,-1
5500,log,292,0.4672,4656.54199999999,3196.5419999999904,-5.0,21.804999999999946,10.947061643835584,0.8817913630608476,nan,nan,20,nan,-1
5600,log,294,0.4704,4722.81599999999,3252.8159999999903,-5.0,25.79999999999995,11.063999999999966,0.8828516657009284,nan,nan,20,nan,-1
5700,log,296,0.4736,4781.44099999999,3301.44099999999,-5.0,25.79999999999995,11.153516891891858,0.8839047797932771,nan,nan,20,nan,-1
5800,log,299,0.4784,4825.417999999991,3330.41799999999,-5.0,25.79999999999995,11.138521739130402,0.8854711836583656,nan,nan,20,nan,-1
5900,log,299,0.4784,4849.909999999991,3354.90999999999,-5.0,25.79999999999995,11.220434782608661,0.8854711836583656,nan,nan,20,nan,-1
6000,log,301,0.4816,4907.76499999999,3402.76499999999,-5.0,25.79999999999995,11.304867109634518,0.8865067457180579,25.627342216519512,25.832937949919017,20,1.0,0
6100,log,303,0.4848,4961.54899999999,3446.54899999999,-5.0,25.79999999999995,11.374749174917458,0.8875354497005677,nan,nan,20,nan,-1
6200,log,304,0.4864,5002.64199999999,3482.64199999999,-5.0,25.79999999999995,11.456059210526282,0.8880472581821808,nan,nan,20,nan,-1
6300,log,306,0.4896,5057.46499999999,3527.4649999999892,-5.0,27.584999999999866,11.527663398692775,0.8890658436919879,nan,nan,20,nan,-1
6400,log,309,0.4944,5131.73499999999,3586.7349999999897,-5.0,27.584999999999866,11.607556634304174,0.8905813067722956,nan,nan,20,nan,-1
6500,log,309,0.4944,5143.826999999989,3598.8269999999893,-5.0,27.584999999999866,11.646689320388315,0.8905813067722956,nan,nan,20,nan,-1
6600,log,312,0.4992,5232.343999999988,3672.3439999999887,-5.0,27.584999999999866,11.770333333333298,0.8920821274683117,nan,nan,20,nan,-1
6700,log,317,0.5072,5343.087999999989,3758.087999999989,-5.0,27.584999999999866,11.855167192428986,0.8945517142018181,nan,nan,20,nan,-1
6800,log,318,0.5088,5375.383999999988,3785.383999999988,-5.0,27.584999999999866,11.903723270440214,0.8950409547122106,nan,nan,20,nan,-1
6900,log,321,0.5136,5437.599999999988,3832.599999999988,-5.0,27.584999999999866,11.939563862928312,0.8964994981386603,nan,nan,20,nan,-1
7000,log,321,0.5136,5454.109999999988,3849.1099999999888,-5.0,27.584999999999866,11.990996884735168,0.8964994981386603,26.230867339478156,26.456584265079915,20,1.0,0
7100,log,322,0.5152,5490.146999999988,3880.146999999988,-5.0,27.584999999999866,12.050145962732882,0.8969826516654851,nan,nan,20,nan,-1
7200,log,322,0.5152,5496.062999999988,3886.0629999999883,-5.0,27.584999999999866,12.068518633540336,0.8969826516654851,nan,nan,20,nan,-1
7300,log,324,0.5184,5536.101999999988,3916.101999999988,-5.0,27.584999999999866,12.086734567901198,0.8979444735226818,nan,nan,20,nan,-1
7400,log,328,0.5248,5645.306999999988,4005.306999999988,-5.0,28.404999999999866,12.211301829268256,0.8998504328170758,nan,nan,20,nan,-1
