seed,feature,baseline_mean,contribution_mean,mean_difference_contribution_minus_baseline,baseline_median,contribution_median,median_difference_contribution_minus_baseline,baseline_std,contribution_std,cohens_d_contribution_minus_baseline,ks_statistic,ks_p_value,wasserstein_distance,wasserstein_distance_over_pooled_std,histogram_overlap
1002,loop_score,6.663904614956624,6.726826832116326,0.06292221715970214,6.315212031123465,6.681992885989187,0.36678085486572165,3.8441161237085724,3.9254070171339626,0.016195290163523692,0.02862500000000001,0.002789493136092877,0.1473683940280992,0.03793054361323552,0.95
1002,bbox_area,1.5088345894113881,1.5591985240910986,0.050363934679710454,1.1914872527122498,1.1869927048683167,-0.0044945478439331055,1.0684859161292364,1.1429921961039158,0.04551908472376347,0.036250000000000004,5.295773351396206e-05,0.0872237331307874,0.078833088072897,0.9297500000000001
1003,fitness,6.5044614999999855,5.742965499999989,-0.7614959999999966,5.934999999999997,5.437499999999995,-0.4975000000000023,4.531747105506617,4.4595115067470825,-0.1693697991022165,0.07800000000000001,1.2969676734888872e-21,0.769858499999998,0.17122976283806346,0.9135
1003,steps,196.621125,191.155375,-5.465750000000014,187.0,185.0,-2.0,43.110011351591815,41.979968242119654,-0.12845052950659433,0.06862500000000005,7.99424803774945e-17,5.5335,0.13004272149745927,0.8995000000000001
1003,food_collected,1.333,1.166,-0.16700000000000004,1.0,1.0,0.0,1.0908074990574643,1.032203468314266,-0.15725399322746395,0.05687500000000001,1.0923259758891672e-11,0.16699999999999987,0.1572539932274638,0.943125
1003,wall_collisions,24.655125,31.151125,6.495999999999999,13.0,14.0,1.0,31.690640356963048,38.819950234826095,0.18330986958097673,0.08824999999999994,1.4838857581408712e-27,6.7115,0.18939103905368312,0.8959999999999999
1003,hazard_contacts,1.719375,1.643125,-0.07625000000000015,0.0,0.0,0.0,3.7771516529489517,3.5498612979065816,-0.020802085652072325,0.004750000000000032,0.999987933600284,0.07625000000000004,0.020802085652072297,0.99425
1003,path_length,6.3136078947259335,5.853826499272365,-0.4597813954535681,6.4247636795043945,5.807379722595215,-0.6173839569091797,2.4773542503824864,2.615493448509873,-0.1804819833901622,0.11162499999999997,7.233876297541215e-44,0.49514256760144604,0.19436261133065152,0.8912500000000001
1003,displacement,1.1137039249492118,1.069440621650657,-0.04426330329855488,1.193624198436737,1.1510224342346191,-0.04260176420211792,0.5466847144596361,0.5304735951932474,-0.08217088373980021,0.040750000000000064,3.2963296138809764e-06,0.045357929579861775,0.08420296002414601,0.9477500000000001
1003,loop_score,6.659076603019239,5.619968570809404,-1.0391080322098345,6.736863893705402,5.361445629678737,-1.3754182640266643,3.5137980320763735,3.220506383503162,-0.30828991692128616,0.15662500000000001,3.618589698122997e-86,1.0416183581287097,0.30903469816152884,0.84825
