evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still,assignment_geodesic_distance
75,bootstrap_random,1.296000000000001,-0.7476742887621953,-0.7716338365738838,0.10173000395298004,0.08516901731491089,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.221109591568362
76,bootstrap_random,1.296000000000001,-0.7313127543120063,-0.7632898163219943,0.10524480044841766,0.06457697600126266,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.23134520950691295
77,bootstrap_random,1.613000000000001,-0.413108310536465,-0.8111480459668536,-0.06678052246570587,-0.12388916313648224,6,4,False,False,False,151,0,0,0,2.75036883354187,0.3207547664642334,8.00442800658623,0.0487537756562233,True,False,0.2079435888814339
78,bootstrap_random,1.296000000000001,-0.7588265687665263,-0.7613856075878642,0.08649054169654846,0.06082896888256073,7,5,False,False,False,162,0,0,0,0.013171013444662094,0.011150005273520947,6.401822169002822,5.231300383456983e-05,False,True,0.24805604254431948
79,bootstrap_random,1.4680000000000009,-0.9184444381422885,-0.9324653781750115,0.10675609111785889,0.12273937463760376,7,5,False,False,False,161,0,0,0,0.26119688153266907,0.254427433013916,0.39270992255688714,0.032343700528144836,False,False,0.1966361055533627
80,bootstrap_random,1.296000000000001,-0.7267201391023581,-0.7487436950665557,0.1030285581946373,0.044529274106025696,7,5,False,False,False,162,0,0,0,0.0,0.0,0.0,0.0,False,True,0.2503344614316641
81,mutated_elite,9.34699999999997,-0.6310615241405679,0.97297094256033,-0.9861988425254822,-0.34077972173690796,5,4,True,True,False,229,2,18,0,8.446356773376465,1.7169420719146729,8.181773716603628,1.6181082725524902,True,False,0.6034888942563363
82,mutated_elite,18.019999999999964,-0.6101219378153127,-0.8025137148446715,-1.4796702861785889,0.1054271012544632,4,5,True,True,False,280,4,7,0,8.367865562438965,0.13617929816246033,4.281122501320861,3.6902713775634766,True,False,0.34772932881451446
83,mutated_elite,-2.036999999999996,-0.3418130268420316,0.9658334720560486,-1.067847728729248,-0.43490225076675415,5,3,False,False,False,151,0,121,0,2.1417222023010254,1.7753194570541382,0.5287083235237067,0.8305588960647583,False,False,0.5953143098981596
84,mutated_elite,-3.448000000000005,-0.27888013767619213,-0.47753605009399275,-0.18521229922771454,0.08965396881103516,6,5,False,False,False,154,0,144,0,0.5915835499763489,0.5231836438179016,0.20327069856781071,0.12320850789546967,False,False,0.18870288951687308
85,mutated_elite,-1.9420000000000004,-0.28130586651503536,0.9682990062290162,-0.5074312090873718,-0.17383699119091034,5,4,False,False,False,151,0,117,0,2.082754611968994,1.7933441400527954,0.8117364880948427,0.8133074045181274,False,False,0.26962919854849005
86,mutated_elite,1.0970000000000009,-0.3347949236365442,-0.9689062130214154,0.3214706480503082,0.4642731547355652,7,5,False,False,False,159,0,14,0,0.7879161834716797,0.450802206993103,4.59411242905112,0.10439891368150711,False,False,0.25125512578207265
87,mutated_elite,1.796000000000001,-0.3616477176990161,-0.7479936033403818,0.339846670627594,0.5443573594093323,7,5,True,True,False,157,0,0,0,1.1868911981582642,0.3725830316543579,5.926702674906136,0.10764797031879425,True,False,0.33329362934515105
88,mutated_elite,-0.5289999999999995,0.03479473536704557,0.7505192339063822,-0.7372329235076904,-0.13969968259334564,5,4,False,False,False,152,0,82,0,2.502812147140503,1.68815016746521,0.843296591410739,1.3484679460525513,False,False,0.4795907050023972
89,mutated_elite,1.1570000000000007,-0.27588568278177417,-0.9647087431126419,0.413139283657074,0.6229098439216614,7,5,False,False,False,159,0,11,0,0.8331977725028992,0.494325190782547,4.342533794622317,0.10964679718017578,False,False,0.42903223161799353
90,mutated_elite,1.5200000000000016,0.2076134474229884,-0.770806868325064,-0.5944259762763977,-0.3729560971260071,5,4,False,False,False,145,0,54,0,4.358168125152588,0.9345517754554749,1.2475209227614243,1.8307831287384033,True,False,0.36891552038249553
91,mutated_elite,0.555000000000001,0.3404631932232043,-0.9735015109015818,0.42967700958251953,1.2272124290466309,7,7,False,False,False,155,0,44,0,1.8223801851272583,1.0908775329589844,1.3700814577731792,0.521065354347229,True,False,0.17555604307131345
92,mutated_elite,-1.7269999999999985,-0.4391912162174871,0.9674294885980517,-1.1997902393341064,-0.7582822442054749,5,3,False,False,False,151,0,116,0,2.1997079849243164,1.7536793947219849,1.0007646295596226,0.7975801825523376,True,False,0.46791046042730167
93,mutated_elite,-2.524,0.9712443012605378,-0.9749609627135352,0.8838738799095154,1.842368245124817,8,8,False,False,False,152,0,130,0,1.748887300491333,1.7250831127166748,0.19614665948150586,0.422054648399353,False,False,0.38650046243366365
94,mutated_elite,2.152000000000001,-0.6604578364429672,0.02321353347665457,0.014129489660263062,-0.08166323602199554,6,4,False,False,False,144,0,19,0,4.6177191734313965,0.7740747332572937,6.085665765573345,0.9082715511322021,True,False,0.2992094586406291
95,mutated_elite,9.574999999999966,-0.6975175794326592,-0.5771799730908438,-0.3741166591644287,-0.026041045784950256,6,4,True,True,False,280,3,0,0,0.21132490038871765,0.18219229578971863,0.7088710312277918,0.010692749172449112,False,False,0.26461232773274646
96,mutated_elite,5.516999999999997,-0.8525160548315198,-0.6659262335188346,-0.42961686849594116,-0.3790038824081421,6,4,False,False,False,179,1,11,0,7.1758713722229,0.15214644372463226,7.602095258180682,0.5633845329284668,True,False,0.23564587206818025
97,mutated_elite,-2.7960000000000016,-0.2489211141403775,-0.9719988288462618,0.4795045852661133,0.5980779528617859,8,6,False,False,False,158,0,125,0,0.5614586472511292,0.5224671363830566,0.3246215501593133,0.10682784020900726,False,False,0.37373212556119
98,mutated_elite,5.325999999999999,-0.9049242943712418,0.9641024392238985,-0.3385029435157776,-0.19835858047008514,6,4,False,False,False,192,1,13,0,4.080972671508789,1.7462958097457886,3.7595795774734335,1.0757808685302734,True,False,0.15474790337419533
