evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still
14848,mutated_elite,10.285999999999994,-0.10727421866692355,0.05164860650495237,-2.700438976287842,-2.7055094242095947,8,17,False,False,False,222,2,23,0,9.968795776367188,1.0261465311050415,5.520945117868765,1.8064019680023193,True,False
14849,mutated_elite,7.4449999999999985,-0.7024946819810771,0.1879898718653388,-19.487234115600586,-8.268196105957031,4,15,False,False,False,175,1,19,4,9.053979873657227,0.9476894736289978,1.919176150476586,3.744745969772339,True,False
14850,mutated_elite,2.476999999999985,-0.14833424153672914,-0.730235041376235,3.41243839263916,0.5499639511108398,9,18,False,False,False,189,1,95,0,4.290465354919434,0.5779069662094116,1.8647226949916318,1.3118923902511597,True,False
14851,mutated_elite,3.653999999999993,-0.42855236595865165,-0.9748408608269763,-8.95291805267334,0.41901376843452454,7,18,False,False,False,183,1,60,0,5.833294868469238,0.3736806809902191,2.933683424210238,0.8135315775871277,True,False
14852,mutated_elite,4.772999999999994,-0.5526066064755841,0.07733316869907543,0.6289680004119873,-1.5000015497207642,9,18,False,False,False,181,1,34,0,6.558232307434082,0.85291987657547,7.514465448949235,0.9088832139968872,True,False
14853,mutated_elite,18.25999999999995,-0.6852792463078848,0.2521576860193966,5.622646331787109,-10.844060897827148,10,14,False,False,False,280,4,24,6,15.136672973632812,1.013130784034729,2.8788628081119,3.7895522117614746,True,False
14854,mutated_elite,5.404999999999994,0.29671863686682,-0.08449570443821748,5.260642051696777,0.1945275366306305,10,18,False,False,False,180,1,27,1,6.271393775939941,1.2253026962280273,3.707372343533524,1.9991168975830078,True,False
14855,mutated_elite,4.096999999999994,0.973813820891561,0.5497933826567692,-4.204594135284424,-2.965778350830078,8,17,False,False,False,194,1,85,0,5.537214756011963,2.1538631916046143,1.7606715931756576,3.800924062728882,True,False
14856,mutated_elite,4.390999999999999,0.7293147104960046,-0.6619110024031987,6.075894832611084,-2.40598201751709,10,17,False,False,False,157,1,8,11,4.94686222076416,1.4710768461227417,7.263539477041122,1.3395414352416992,True,False
14857,mutated_elite,1.8060000000000007,-0.9016644989621744,-0.17973998216681986,-3.968735933303833,1.1058751344680786,8,18,False,False,False,142,0,40,0,5.231195449829102,0.5990191698074341,2.0407421340541965,1.0858840942382812,True,False
14858,mutated_elite,0.5980000000000002,-0.7960349163145155,0.9745579314537473,-4.595821857452393,-1.6188414096832275,7,18,False,False,False,146,0,69,0,4.101504802703857,1.7246519327163696,1.39500132706898,2.1584460735321045,True,False
14859,mutated_elite,6.136999999999996,-0.8799320438371668,0.6501332712226232,0.7873839139938354,-2.0486702919006348,9,17,False,False,False,179,1,10,0,7.0372514724731445,1.4051868915557861,8.229353725053826,1.1386905908584595,True,False
14860,mutated_elite,5.399999999999997,-0.29789378061012356,-0.96399790146884,-15.138187408447266,-9.771812438964844,5,15,False,False,False,185,1,65,2,7.009012699127197,0.49143296480178833,1.9032443547825775,3.455111503601074,True,False
14861,mutated_elite,9.822999999999977,-0.41914707601908757,-0.23277168775864632,3.8948252201080322,2.4090540409088135,9,19,False,False,False,241,2,65,0,9.349123001098633,0.6128490567207336,3.824376823219437,1.4393726587295532,True,False
14862,mutated_elite,-0.13399999999999831,-0.27690408101671693,-0.22895666658413352,-3.8414103984832764,-15.786691665649414,8,13,False,False,False,147,0,85,0,3.6502749919891357,0.6981661319732666,1.5624431110078796,1.1282132863998413,True,False
14863,mutated_elite,2.4539999999999997,-0.8594839774346696,-0.29930594185952536,-0.8220196962356567,1.9677988290786743,8,19,False,False,False,148,0,10,0,3.7049853801727295,0.4756517708301544,1.8347208613893784,0.5369396805763245,True,False
14864,mutated_elite,-3.095000000000003,-0.2752594986491258,-0.22158318040801386,-1.0431489944458008,-4.680351734161377,8,17,False,False,False,155,0,138,0,1.3674076795578003,0.6896395087242126,0.7527869467522412,0.3746595084667206,False,False
14865,mutated_elite,5.899999999999997,-0.28156496675879344,0.5081637181777007,0.13946089148521423,-15.930547714233398,9,13,False,False,False,195,1,17,0,5.488529205322266,1.3489139080047607,4.296050866334805,1.124283790588379,True,False
14866,mutated_elite,15.709999999999935,-0.4276127720772345,0.9276808389669624,9.70157241821289,-7.283044815063477,11,16,False,False,False,280,3,10,3,10.726119041442871,1.7134203910827637,7.628344434070949,3.3415186405181885,True,False
14867,mutated_elite,6.022999999999996,-0.2750041597831041,0.4295563272287343,-1.980014443397522,-13.340474128723145,8,14,False,False,False,196,1,24,0,5.465194225311279,1.275598168373108,2.324504923416063,1.1897196769714355,True,False
14868,mutated_elite,12.694999999999991,0.9722615224088703,0.548063844674252,-14.8677339553833,-0.8987071514129639,5,18,False,False,False,280,3,90,0,11.586898803710938,2.1495401859283447,2.3057732055082933,3.8015379905700684,True,False
14869,mutated_elite,1.9960000000000002,-0.9451429021074892,-0.5900634512813836,-8.640213966369629,1.281982183456421,7,19,False,False,False,137,0,27,0,6.199822425842285,0.26393628120422363,3.2618749245212397,0.5214270353317261,True,False
14870,mutated_elite,2.7529999999999952,0.9748816322475325,-0.0638774778663682,-7.265902042388916,-14.707200050354004,7,13,False,False,False,141,0,32,0,5.528064727783203,1.8293230533599854,1.6283503383850007,3.321418523788452,True,False
14871,mutated_elite,-3.273000000000004,-0.09082667704445516,-0.9703773425810611,0.7131204605102539,4.464571952819824,9,20,False,False,False,154,0,139,0,0.7850332260131836,0.6710260510444641,0.7839607649250779,0.15540695190429688,False,False
14872,mutated_elite,4.033999999999993,-0.8744945867928415,-0.9669158604337215,0.5250931978225708,1.0836275815963745,9,18,False,False,False,183,1,53,0,6.167819976806641,0.25875338912010193,3.953296188457483,0.6991881132125854,True,False
14873,mutated_elite,9.412999999999972,0.9702104545212306,0.8597419474814623,2.891998529434204,-9.227811813354492,9,15,False,False,False,241,2,6,0,5.338616371154785,2.352949857711792,10.03099066792348,3.3343825340270996,True,False
14874,mutated_elite,1.5809999999999997,-0.8316591703439871,-0.24749643411104943,0.0058047473430633545,7.986699104309082,8,21,False,False,False,142,0,49,0,4.884678840637207,0.519200325012207,2.0838448776124605,1.0325405597686768,True,False
14875,mutated_elite,0.48599999999999977,-0.8252482643425433,-0.1329168522291185,-3.4711754322052,0.5675629377365112,8,18,False,False,False,152,0,53,0,2.4192543029785156,0.6202358603477478,1.2262248482752693,0.5878387689590454,True,False
14876,mutated_elite,3.5229999999999984,0.44382898360654743,-0.2874946083513341,2.1056087017059326,1.73788321018219,9,19,False,False,False,141,0,10,0,5.427928924560547,1.2550361156463623,3.129242364886412,1.6933152675628662,True,False
14877,mutated_elite,3.8549999999999933,0.06984621362522331,-0.9182909582572131,-6.04387092590332,4.556061744689941,7,20,False,False,False,185,1,56,0,5.585263729095459,0.8258920311927795,2.764718508086425,0.7728381752967834,True,False
14878,mutated_elite,-3.3700000000000045,-0.014251244789983042,-0.9736954712561969,0.6117647886276245,4.080735683441162,9,19,False,False,False,155,0,142,0,0.7548094391822815,0.7388858795166016,0.21417993362839818,0.15412481129169464,False,False
14879,mutated_elite,2.5599999999999974,-0.1374192638822473,0.5429790315354132,-12.620392799377441,-0.7751625776290894,6,18,False,False,False,125,0,15,4,6.0497660636901855,1.4287912845611572,2.9254164668028175,2.167644739151001,True,False
14880,mutated_elite,2.0879999999999983,0.9740429981989689,0.7679533131933896,-3.6889595985412598,-1.8551379442214966,8,17,False,False,False,141,0,42,0,5.176270008087158,2.2795326709747314,1.6998373749680773,3.7856318950653076,True,False
14881,mutated_elite,-1.0549999999999993,-0.8931910134755415,0.06891133141459435,-0.9302607774734497,5.603993892669678,8,20,False,False,False,150,0,103,0,2.8325719833374023,0.8327471613883972,1.691435483379054,0.9385924935340881,True,False
14882,mutated_elite,0.21999999999999925,-0.9749520856697681,0.967990220513219,-3.5259835720062256,-1.132744312286377,8,18,False,False,False,145,0,77,0,4.028631210327148,1.7444970607757568,1.4623425906078407,2.2166359424591064,True,False
14883,mutated_elite,0.5779999999999996,-0.7921659870786584,0.39728323017175293,-6.998723983764648,2.959583044052124,7,19,False,False,False,146,0,67,0,4.026824474334717,1.160064458847046,2.0813655189437457,0.913040816783905,True,False
14884,mutated_elite,2.491,-0.7176526162598935,0.336887032737058,-1.49380362033844,-11.800467491149902,8,14,False,False,False,142,0,5,0,5.153377532958984,1.1057077646255493,3.8674467818696847,0.8757107853889465,True,False
14885,mutated_elite,3.093999999999999,0.7767096409475396,0.24908379067540232,-6.736164093017578,-4.312168121337891,7,17,False,False,False,143,0,15,0,4.9695024490356445,1.8159180879592896,1.4104909818507165,3.376838207244873,True,False
