sample_index,evaluation,source,fitness,final_x,final_y,latent_0,latent_1,path_length,loop_score,is_loop,is_near_still
38,1942,bootstrap_random,1.4440000000000008,-0.6457306933564408,-0.7057454657088307,-2.295816659927368,3.7694528102874756,0.9992418885231018,4.7802575476672375,False,False
39,1997,bootstrap_random,5.295999999999997,-0.043941571721351026,-0.9661685527494089,3.3589842319488525,-1.9403010606765747,5.150882244110107,8.691844958285065,True,False
40,2257,mutated_elite,5.017999999999991,0.45939268098625363,-0.7934187040136255,2.6473021507263184,1.5053479671478271,6.631486892700195,1.86678389430116,True,False
41,2326,mutated_elite,0.7390000000000002,-0.0661100760822626,-0.7297334656061035,-1.65805184841156,3.078325033187866,2.335589647293091,1.3112114501889132,True,False
42,2332,mutated_elite,1.9090000000000003,-0.9190215044799728,-0.6846751384018069,-1.0652285814285278,3.22515869140625,2.4802932739257812,2.4010409876155943,True,False
43,2333,mutated_elite,-3.4150000000000045,-0.06735587763418804,-0.9706012510171192,0.6929051876068115,4.431162357330322,0.7102206349372864,0.6489509958951224,False,False
44,2398,mutated_elite,1.0079999999999998,0.6017589783523524,-0.8360832493790382,1.528043270111084,3.0236809253692627,1.9770795106887817,4.348301206357476,True,False
45,2459,mutated_elite,4.660999999999996,0.9721401181905261,0.776538346104573,-3.9394500255584717,-2.7216696739196777,5.09617805480957,1.7758746835762167,True,False
46,2477,mutated_elite,2.2479999999999993,-0.8252964492681729,-0.1957871386268745,-1.3866008520126343,3.7441177368164062,4.03843879699707,2.4392354054543057,True,False
47,2530,mutated_elite,0.234000000000001,0.27514776572676775,-0.16368109399506203,5.7667622566223145,3.5593369007110596,3.325753927230835,1.5063539011076978,True,False
48,2569,mutated_elite,1.4580000000000004,-0.8080348241374284,-0.43119565118636716,-10.482382774353027,2.2057113647460938,5.326895236968994,3.054311243359851,True,False
49,2614,mutated_elite,7.16699999999999,-0.9574442906280312,0.528054917551862,2.5244386196136475,-2.1554300785064697,7.273768901824951,4.12805644420106,True,False
50,2655,mutated_elite,1.2380000000000009,-0.7983883293413467,-0.9748861637882629,-2.9161787033081055,4.663325309753418,0.23636098206043243,0.8230303576694402,False,False
51,2662,mutated_elite,2.344,-0.9713982628692598,-0.32624851936548305,-0.19994494318962097,1.332431674003601,3.6782093048095703,2.4570388247628796,True,False
52,2712,mutated_elite,2.4239999999999995,-0.5123275393081451,-0.863720235177453,-1.250679850578308,1.0888711214065552,4.886832237243652,4.777727038470739,True,False
53,2754,mutated_elite,1.825,0.9749597746209255,-0.8486032001000263,1.2160820960998535,3.0912225246429443,2.975358009338379,1.2596832888344844,True,False
54,2824,mutated_elite,5.683999999999995,0.6018693975275652,0.06770529480155996,2.40999436378479,-0.16636532545089722,7.240230083465576,5.4881936018886455,True,False
55,2870,mutated_elite,1.276,-0.7871323449192023,0.6708039557711452,-1.0914379358291626,-4.54801082611084,5.1533589363098145,1.8803791581710982,True,False
56,2884,mutated_elite,9.886999999999931,-0.4587456180009385,0.6049472461380663,2.40160870552063,-5.658924102783203,7.175631523132324,6.879350139582835,True,False
57,2916,mutated_elite,-1.549999999999999,0.3693591089709825,-0.9748837943914102,1.12144935131073,3.097919225692749,1.3926386833190918,1.1827228422145226,True,False
58,2951,mutated_elite,-1.9169999999999974,0.6370870768646443,-0.9727760118824262,1.0384076833724976,3.874627113342285,1.4300644397735596,0.29150380323044783,False,False
59,2984,mutated_elite,4.612999999999985,-0.9746339997055751,0.2609012568669238,2.2270781993865967,-2.176480770111084,4.250877857208252,2.55934230884322,True,False
60,3046,mutated_elite,1.3950000000000011,-0.9572818107283869,-0.5871042715252554,-0.5125499963760376,3.5120558738708496,4.239872932434082,2.1012524495131366,True,False
61,3076,mutated_elite,13.000999999999914,-0.16691142718640786,0.9094278697841033,4.107586860656738,-8.679919242858887,12.180171966552734,10.39610526019568,True,False
62,3130,mutated_elite,10.542000000000005,0.968493021424855,0.39718335188246345,-2.6953022480010986,-2.9020111560821533,9.772137641906738,5.2119151820372975,True,False
63,3141,mutated_elite,10.076999999999993,0.46980127598791804,0.25478425125089865,-4.409838676452637,-5.37681770324707,9.673484802246094,3.65803378904502,True,False
64,3414,mutated_elite,2.1940000000000004,-0.6214780615736808,-0.8282047179405764,-8.596805572509766,0.09960994869470596,5.057941913604736,2.4903488984351236,True,False
65,3428,mutated_elite,-1.9569999999999976,0.0897850628377367,0.9724576029756306,-2.0262882709503174,-6.756481170654297,2.3193612098693848,0.4425969412357433,False,False
66,3431,mutated_elite,5.245999999999999,-0.27585759084816697,-0.347580104124214,-0.7809103727340698,0.7565931081771851,6.428494930267334,4.104654698284781,True,False
67,3444,mutated_elite,0.9030000000000002,0.5043803250970222,-0.7501090865812716,1.1902755498886108,1.7666751146316528,1.2345554828643799,0.15000752686859115,False,False
68,3463,mutated_elite,2.3369999999999997,-0.11229354073439374,-0.7447704224226176,0.7210315465927124,1.004716157913208,4.67167329788208,6.0480736186374475,True,False
69,3503,mutated_elite,1.2260000000000002,-0.9724721138798231,0.7148295075311139,-2.165344476699829,-1.3599588871002197,2.644645929336548,1.126929607178375,True,False
70,3546,mutated_elite,3.3949999999999982,-0.7479186974293133,-0.40950688538177654,-0.7674287557601929,-2.2918052673339844,5.54415225982666,3.04850649325723,True,False
71,3711,mutated_elite,1.379,-0.9733214699302428,-0.39923656514449607,-4.507344722747803,-0.9410853385925293,4.844490051269531,1.8424842061819966,True,False
72,3744,mutated_elite,1.9840000000000007,-0.15464635242183103,-0.8217246852236527,-0.5137063264846802,2.333350419998169,2.3036584854125977,3.875235018907278,True,False
73,3850,mutated_elite,1.485,0.6595483046001199,-0.29112182203070164,1.7377923727035522,3.0565035343170166,2.6771504878997803,2.2721783888386504,True,False
74,3852,mutated_elite,0.8800000000000003,0.5334131620979464,-0.8408189115200556,2.3635528087615967,3.6862404346466064,2.752079486846924,2.8884414654039254,True,False
75,3910,mutated_elite,1.1560000000000001,-0.5432149363299414,-0.2079789131923018,-4.545609951019287,0.07586982846260071,4.924663066864014,2.255238001877203,True,False
76,3938,mutated_elite,5.6169999999999956,-0.45112000599918833,-0.014445768943061352,2.734311103820801,-3.208198308944702,8.287832260131836,4.82979099022006,True,False
