map,condition,condition_label,seed,archive_cell_x,archive_cell_y,evaluation,fitness,common_cell_0,common_cell_1,common_cell_2,path_efficiency,loop_score_raw,loop_score_clipped,food_collected_raw,food_collected_clipped,path_length,displacement,bbox_area,is_loop,is_near_still,match_candidate_count,match_descriptor_distance,match_status
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,8,7478,12.136000000000003,1,3,3,0.14106902598336388,5.626112424377101,5.626112424377101,3.0,3.0,10.949061393737793,1.544573426246643,1.5189985036849976,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,9,12085,18.425000000000008,1,3,4,0.13894841211716666,4.710341302811282,4.710341302811282,4.0,4.0,14.584365844726562,2.0264744758605957,3.591390371322632,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,10,17246,22.389999999999976,0,4,4,0.08749875520322893,7.171283960139778,7.171283960139778,4.0,4.0,11.051403999328613,0.9669840931892395,1.9312220811843872,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,11,6953,17.014999999999937,0,6,4,0.09875585794944636,10.400355155679243,10.400355155679243,4.0,4.0,12.134503364562988,1.1983532905578613,1.9655654430389404,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,12,15679,19.3929999999999,1,5,3,0.17005509197725538,7.9661382696631,7.9661382696631,3.0,3.0,10.307154655456543,1.7527841329574585,2.0879387855529785,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,13,19164,18.824999999999868,0,5,3,0.08407277801013481,7.634803060950113,7.634803060950113,3.0,3.0,9.44000244140625,0.7936472296714783,2.340040683746338,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,12,14,17617,19.204999999999885,0,5,3,0.0810265872951339,8.5428290515611,8.5428290515611,3.0,3.0,9.324128150939941,0.7555022835731506,2.2449581623077393,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,6,11152,7.958,0,7,2,0.09511800014047973,11.236877869035126,11.236877869035126,2.0,2.0,4.202203273773193,0.399705171585083,0.3247622549533844,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,7,2529,10.93499999999995,0,7,3,0.08200953028353941,12.60832642711618,12.0,3.0,3.0,5.730281352996826,0.46993768215179443,0.4307691752910614,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,8,7144,13.05699999999998,0,6,3,0.03256317411238659,9.392710400677677,9.392710400677677,3.0,3.0,12.133270263671875,0.3950977921485901,1.1830955743789673,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,9,18587,18.84499999999994,0,5,3,0.09468892354516985,8.001150122912549,8.001150122912549,3.0,3.0,9.478449821472168,0.8975042104721069,2.058281898498535,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,10,11756,18.979999999999922,0,4,3,0.05961629437175731,6.414157794207828,6.414157794207828,3.0,3.0,12.945180892944336,0.7717437148094177,2.07340145111084,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,11,19746,22.449999999999967,0,5,4,0.06563485048923018,8.297150486319335,8.297150486319335,4.0,4.0,12.247389793395996,0.8038555979728699,1.9242526292800903,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,12,18536,18.604999999999936,1,5,3,0.1428039464055752,8.904087167245931,8.904087167245931,3.0,3.0,9.39908218383789,1.3422260284423828,2.237922191619873,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,13,9878,19.985000000000003,0,5,4,0.07696205986710082,7.680661861729469,7.680661861729469,4.0,4.0,13.72424030303955,1.0562458038330078,3.7073304653167725,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,14,10424,25.999999999999858,0,6,4,0.10395463868286337,9.181437167887063,9.181437167887063,4.0,4.0,8.068710327148438,0.838779866695404,1.9489582777023315,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,15,18279,18.63499999999989,1,5,3,0.162841021759443,8.683362166899872,8.683362166899872,3.0,3.0,10.220792770385742,1.6643643379211426,1.8626717329025269,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,13,16,6047,21.48499999999993,1,4,5,0.18584014039051655,6.405223299645525,6.405223299645525,5.0,5.0,9.22844123840332,1.7150148153305054,3.748244524002075,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,6,14951,2.234,3,5,0,0.47374836003094756,8.758053472895575,8.758053472895575,0.0,0.0,2.4165778160095215,1.1448497772216797,0.23060567677021027,True,False,2,0.0,verified_final_space_descriptor
