rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
10,1001,16667,17.026999999999937,-4.951269626617432,-21.633573532104492,"(11,6)","(11,5)",281,280,0.7842049990316895,1.4142713618503682,1.4175530830318752,3.319730777807311,1.9021776947754356,2.341874048700202,1.0,True,True,True,16.924999999999994,0.10199999999994347,True,19.549999999999926,-2.522999999999989,23
4,1002,4183,0.41400000000000214,14.53668212890625,-9.56233024597168,"(22,10)","(21,10)",560,535,1.5404992537968276,1.8590447313877612,2.0535553370911552,4.808748087504138,2.7551927504129825,2.3416695915853385,1.0,False,False,True,-2.146999999999998,2.561,True,6.699999999999999,-6.285999999999997,24
5,1002,293,2.2739999999999982,1.2422819137573242,-16.746509552001953,"(18,7)","(17,8)",457,433,1.8490270289618844,2.609833955227255,3.2302965038298654,7.549363943178315,4.31906743934845,2.3370498448757653,1.4142135623730951,False,False,True,7.795999999999997,-5.5219999999999985,True,18.629999999999967,-16.35599999999997,25
11,1003,12458,7.824999999999997,24.0948429107666,10.672734260559082,"(22,19)","(21,19)",569,544,1.0339880891826827,1.2778520397384248,1.376096540492549,3.215831895919152,1.839735355426603,2.3369231745674637,1.0,False,False,True,4.280999999999997,3.5439999999999996,True,8.084999999999988,-0.2599999999999918,26
11,1001,13471,3.1039999999999983,8.430255889892578,2.2220559120178223,"(19,17)","(19,16)",492,491,1.2687553650082146,1.2980382856641106,1.3575467911118695,3.1602415751918524,1.802694784079983,2.3279061877517493,1.0,False,False,True,7.944999999999997,-4.840999999999998,True,13.176999999999998,-10.073,27
6,1002,10846,18.040999999999997,-16.164636611938477,-13.301263809204102,"(12,9)","(13,9)",309,334,1.877255787774694,2.080006889324552,2.155583011338652,4.983471007794562,2.8278879964559103,2.3118900926481816,1.0,False,False,True,23.79,-5.749000000000002,True,23.92999999999999,-5.888999999999992,28
7,1002,5054,2.293,1.2978180646896362,-16.76513671875,"(18,7)","(17,8)",457,433,1.7968615308024443,2.665377044480833,3.2871776582521957,7.588781558982376,4.30160390073018,2.308600978694093,1.4142135623730951,False,False,True,7.795999999999997,-5.502999999999997,True,18.629999999999967,-16.336999999999968,29
12,1003,17308,5.121999999999997,-5.893380641937256,4.372506141662598,"(8,17)","(8,16)",217,216,1.6027491195191497,1.7344043336404007,1.8762418669554168,4.306428678243708,2.4301868112882907,2.2952417564542262,1.0,False,False,True,15.083999999999975,-9.961999999999978,True,17.519999999999936,-12.39799999999994,30
12,1001,15901,17.378999999999998,-5.577594757080078,-15.67774486541748,"(11,8)","(10,9)",283,259,0.9701154802655841,1.7445184279337882,1.8200895902990553,4.141069309799661,2.320979719500606,2.2752008098234606,1.4142135623730951,False,False,True,20.053999999999995,-2.674999999999997,True,24.240000000000013,-6.861000000000015,31
8,1002,2901,18.9449999999999,-23.235692977905273,0.46146321296691895,"(10,13)","(11,13)",263,288,1.7188642328922272,2.419927959007098,2.6709731606726947,6.0512038701487425,3.3802307094760478,2.2655427464590185,1.0,True,False,True,26.80999999999992,-7.86500000000002,True,28.73999999999995,-9.795000000000048,32
9,1002,3275,2.611999999999999,-2.684507369995117,-14.394434928894043,"(16,8)","(17,8)",408,433,1.7140850855160494,2.004335715512497,2.0541417923850043,4.538265967430808,2.484124175045804,2.2093245871608307,1.0,False,False,True,15.597999999999969,-12.985999999999969,True,18.629999999999967,-16.01799999999997,33
10,1002,10013,19.119999999999905,-23.635759353637695,-1.0588761568069458,"(10,13)","(11,13)",263,288,0.9301466306994114,2.54389407887747,2.807358475370774,6.187589184846821,3.3802307094760473,2.2040609487997833,1.0,False,False,True,26.80999999999992,-7.6900000000000155,True,28.73999999999995,-9.620000000000044,34
11,1002,5646,2.457999999999999,-2.6236202716827393,-16.4383602142334,"(16,8)","(17,8)",408,433,2.0373492608826758,2.195093607113478,2.2501075047390375,4.928028492058187,2.67792098731915,2.190130241190289,1.0,False,False,True,15.597999999999969,-13.13999999999997,True,18.629999999999967,-16.17199999999997,35
12,1002,5513,6.227999999999997,-4.392051696777344,-19.636775970458984,"(16,6)","(16,7)",406,407,1.3251721954439382,1.588521737668726,1.592290128182615,3.4559543232602623,1.8636641950776474,2.1704300379006742,1.0,False,False,True,12.266999999999985,-6.038999999999988,True,15.354999999999967,-9.12699999999997,36
