seed,evaluation,fitness,source,blowup_ratio,geodesic_cell_x,geodesic_cell_y,geodesic_cell_arrival_rank,geodesic_cell_first_evaluation,evaluations_since_first_geodesic_cell_arrival,actual_run_inserted,actual_run_replaced
1001,11087,7.086999999999994,mutated_elite,1.121112117464205,18,11,20,10062,1025,False,False
1001,11088,11.037000000000008,mutated_elite,1.4478704635046642,16,13,17,10033,1055,False,False
1001,11091,4.688999999999999,mutated_elite,1.2411034884838126,16,12,18,10043,1048,False,False
1001,11092,12.816999999999972,mutated_elite,1.1534669164220244,19,11,16,10188,904,False,False
1001,11107,13.474999999999978,mutated_elite,2.0815618840643997,16,9,18,10131,976,False,False
1001,11113,12.818999999999939,mutated_elite,1.0467869052432708,12,7,3,10314,799,True,True
1001,11122,13.612000000000007,mutated_elite,1.1130550651620494,19,9,17,10054,1068,False,False
1001,11130,7.405999999999996,mutated_elite,1.4528900075706987,20,12,6,10439,691,False,False
1001,11135,11.014999999999981,mutated_elite,1.2900404113193584,15,17,3,10476,659,False,False
1001,11138,15.659999999999963,mutated_elite,1.029798437838059,15,12,2,10831,307,False,False
1001,11140,11.01299999999998,mutated_elite,1.5984032061455067,18,18,3,10149,991,False,False
1001,11141,16.009999999999895,mutated_elite,1.0613526025889468,13,8,4,10042,1099,False,False
1001,11157,3.7579999999999965,mutated_elite,1.4018151246387986,19,12,9,10132,1025,False,False
1001,11158,6.055999999999997,mutated_elite,1.1993187262552245,16,13,18,10033,1125,False,False
1001,11161,2.2240000000000006,mutated_elite,1.0040350333579908,17,8,24,10094,1067,False,False
1001,11165,4.930999999999997,mutated_elite,1.0724327505908318,16,5,24,10027,1138,False,False
1001,11179,-1.5689999999999984,mutated_elite,1.2135999759362528,19,6,23,10096,1083,False,False
1001,11180,4.274999999999997,mutated_elite,1.4258054051355529,19,9,18,10054,1126,False,False
1001,11183,19.339999999999943,mutated_elite,1.411415873595459,6,14,2,10180,1003,False,False
1001,11204,5.461999999999997,mutated_elite,1.0641346097841793,15,5,11,10040,1164,False,False
1001,11209,4.790999999999997,mutated_elite,1.0297681000926897,16,8,12,10009,1200,False,False
1001,11240,18.71999999999991,mutated_elite,1.1023495487826511,8,12,1,11240,0,False,False
1001,11246,10.591999999999977,mutated_elite,1.3725294205831364,10,11,3,10611,635,False,False
1001,11249,5.2019999999999955,mutated_elite,1.225935962757509,15,5,12,10040,1209,False,False
1001,11253,2.4109999999999987,mutated_elite,1.0069677934626724,17,11,53,10031,1222,False,False
1001,11267,14.317999999999936,mutated_elite,1.1622876634780144,12,10,9,10019,1248,False,False
1001,11272,17.659999999999894,mutated_elite,1.35448886142343,14,13,5,10374,898,False,False
1001,11298,6.202999999999994,mutated_elite,1.0941655891421453,19,9,20,10054,1244,False,False
1001,11327,23.58499999999991,mutated_elite,1.4764414022509094,10,17,4,10977,350,False,False
1001,11341,12.872999999999921,mutated_elite,1.1030975472362408,15,14,13,10046,1295,False,False
1001,11343,2.164,mutated_elite,1.064575337740929,17,9,108,10014,1329,False,False
1001,11351,7.105999999999995,mutated_elite,1.0405091983259556,19,8,5,10049,1302,False,False
1001,11355,10.629999999999953,mutated_elite,1.2884122819064188,16,6,20,10041,1314,False,False
