cell_x,cell_y,fitness,descriptor_x,descriptor_y,centroid_x,centroid_y,novelty_score,steps,food_collected,wall_collisions,hazard_contacts
12,17,21.399999999999956,-4.026229381561279,2.5068631172180176,-3.4069981575012203,3.302846679687497,0.06969330531084589,280,5,6,0
12,18,17.86800000000001,-3.8068535327911377,4.591867446899414,-3.4069981575012203,5.498658477783201,0.06944326242194587,271,3,15,1
12,19,15.535999999999968,-3.026313066482544,7.984743118286133,-3.4069981575012203,7.694470275878898,0.06957956273879148,267,3,11,3
12,20,10.742999999999961,-3.9074227809906006,9.898072242736816,-3.4069981575012203,9.890282073974603,0.06935692074069774,226,2,5,0
12,21,10.273999999999946,-4.078949451446533,11.988046646118164,-3.4069981575012203,12.086093872070307,0.07276121517749394,228,2,6,0
12,22,1.639000000000001,-2.725329637527466,13.8126859664917,-3.4069981575012203,14.281905670166012,0.08137490321175914,143,0,54,0
13,5,5.694999999999994,-2.6319282054901123,-23.053659439086914,-1.8108980941772468,-23.046894897460938,0.0781867181157708,175,1,32,0
13,6,5.745999999999996,-2.600170612335205,-22.586896896362305,-1.8108980941772468,-20.851083099365233,0.07414364736195238,177,1,22,0
13,7,7.2179999999999955,-0.7684809565544128,-17.309268951416016,-1.8108980941772468,-18.65527130126953,0.07302144928146405,166,1,9,2
13,8,13.615999999999971,-3.365999937057495,-16.238475799560547,-1.8108980941772468,-16.45945950317383,0.07158034255233989,252,3,21,3
13,9,13.03,-3.767343759536743,-13.49333667755127,-1.8108980941772468,-14.263647705078125,0.07106336272156834,225,2,16,1
13,10,19.97499999999996,-0.8603737950325012,-11.158414840698242,-1.8108980941772468,-12.067835906982424,0.07047581026649333,280,4,16,0
13,11,17.467999999999993,-2.80753755569458,-10.013545036315918,-1.8108980941772468,-9.87202410888672,0.07015237709545669,261,3,8,0
13,12,19.529999999999976,-2.3849575519561768,-7.395656108856201,-1.8108980941772468,-7.6762123107910165,0.06927018425534488,280,4,4,8
13,13,20.079999999999952,-1.4099944829940796,-4.612386703491211,-1.8108980941772468,-5.480400512695316,0.0696811658009833,280,5,24,2
13,14,22.94999999999998,-2.275965690612793,-2.8707170486450195,-1.8108980941772468,-3.2845887145996118,0.06945285681446123,280,5,12,1
13,15,23.85499999999998,-1.5822036266326904,-0.8172318339347839,-1.8108980941772468,-1.088776916503911,0.06962316992162607,280,5,8,0
13,16,24.389999999999972,-1.7645435333251953,1.5344032049179077,-1.8108980941772468,1.1070348815917932,0.06935001730787671,280,6,13,0
13,17,18.679999999999982,-2.272470474243164,3.0524117946624756,-1.8108980941772468,3.302846679687497,0.06946770282537332,280,4,13,12
13,18,17.05299999999999,-1.3454036712646484,4.827845573425293,-1.8108980941772468,5.498658477783201,0.06953198346007658,266,3,10,2
13,19,15.868999999999966,-2.0901575088500977,6.70064115524292,-1.8108980941772468,7.694470275878898,0.06968690203774235,273,3,12,0
13,20,12.210000000000003,-2.3873682022094727,10.395147323608398,-1.8108980941772468,9.890282073974603,0.0705613889381502,230,2,12,0
13,21,3.2109999999999994,-1.8185007572174072,11.907308578491211,-1.8108980941772468,12.086093872070307,0.07337054280891459,147,0,1,0
14,4,7.923999999999997,0.6225816607475281,-26.51944923400879,-0.2147980308532732,-25.24270669555664,0.08499956403997506,173,1,4,3
14,5,3.3299999999999987,1.4556437730789185,-24.365379333496094,-0.2147980308532732,-23.046894897460938,0.0806466435904837,135,0,0,0
14,6,6.525999999999995,2.738359212875366,-20.573993682861328,-0.2147980308532732,-20.851083099365233,0.07567565924297862,172,1,14,0
14,7,9.746999999999993,0.5325285792350769,-17.954017639160156,-0.2147980308532732,-18.65527130126953,0.07352788807307614,224,2,42,0
14,8,13.014999999999992,-1.4745525121688843,-16.266986846923828,-0.2147980308532732,-16.45945950317383,0.07038985928788515,215,2,3,0
14,9,11.725999999999964,-0.21624654531478882,-13.671285629272461,-0.2147980308532732,-14.263647705078125,0.07058538198764129,262,3,48,0
14,10,17.194999999999958,0.7398557066917419,-11.570778846740723,-0.2147980308532732,-12.067835906982424,0.07049891488621736,275,3,27,0
14,11,14.850999999999999,-0.48165634274482727,-11.0115385055542,-0.2147980308532732,-9.87202410888672,0.06965836094453437,262,3,39,3
14,12,15.404000000000003,-1.150122046470642,-8.56522274017334,-0.2147980308532732,-7.6762123107910165,0.0696090262735359,258,3,3,0
14,13,20.499999999999993,-0.756552517414093,-5.7499799728393555,-0.2147980308532732,-5.480400512695316,0.06988464842576006,280,4,14,0
14,14,19.844999999999963,-0.7194286584854126,-3.6277785301208496,-0.2147980308532732,-3.2845887145996118,0.06992388331140156,280,4,14,2
14,15,21.689999999999962,-0.563340961933136,-1.5465129613876343,-0.2147980308532732,-1.088776916503911,0.06954919876280227,280,4,7,0
14,16,24.349999999999994,-0.9435868859291077,2.0550878047943115,-0.2147980308532732,1.1070348815917932,0.06928587277500702,280,5,7,0
14,17,19.004999999999978,-0.6877765655517578,2.419801712036133,-0.2147980308532732,3.302846679687497,0.06961563883399169,280,4,15,0
14,18,13.85099999999997,0.01299237459897995,6.33543062210083,-0.2147980308532732,5.498658477783201,0.0694260463328292,237,3,7,11
14,19,14.473999999999917,0.06294073909521103,6.843024253845215,-0.2147980308532732,7.694470275878898,0.07114323831477062,278,3,3,0
14,20,6.373,-1.219868540763855,9.642038345336914,-0.2147980308532732,9.890282073974603,0.07142179417228489,201,1,1,2
14,21,6.643999999999999,0.19656464457511902,11.089154243469238,-0.2147980308532732,12.086093872070307,0.07450005945126609,203,1,2,0
14,22,-0.04199999999999925,-0.8143907189369202,12.184419631958008,-0.2147980308532732,14.281905670166012,0.08430294923817035,146,0,86,0
