map,seed,evaluation,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction
horseshoe,1003,18750,10,694,206,488,6,0.9654178674351584,326,0.5216
horseshoe,1003,18750,20,694,206,488,2,0.9985590778097982,402,0.6432
horseshoe,1003,18750,30,694,206,488,1,1.0,445,0.712
horseshoe,1003,19000,3,694,206,488,51,0.6368876080691642,297,0.4752
horseshoe,1003,19000,5,694,206,488,12,0.9596541786743515,308,0.4928
horseshoe,1003,19000,10,694,206,488,7,0.9596541786743515,327,0.5232
horseshoe,1003,19000,20,694,206,488,1,1.0,403,0.6448
horseshoe,1003,19000,30,694,206,488,1,1.0,445,0.712
horseshoe,1003,19250,3,693,209,484,54,0.5800865800865801,290,0.464
horseshoe,1003,19250,5,693,209,484,14,0.9307359307359307,306,0.4896
horseshoe,1003,19250,10,693,209,484,6,0.9754689754689755,329,0.5264
horseshoe,1003,19250,20,693,209,484,1,1.0,402,0.6432
horseshoe,1003,19250,30,693,209,484,1,1.0,446,0.7136
horseshoe,1003,19500,3,691,210,481,59,0.49782923299565845,295,0.472
horseshoe,1003,19500,5,691,210,481,21,0.8654124457308249,311,0.4976
horseshoe,1003,19500,10,691,210,481,5,0.9811866859623734,332,0.5312
horseshoe,1003,19500,20,691,210,481,1,1.0,401,0.6416
horseshoe,1003,19500,30,691,210,481,1,1.0,447,0.7152
horseshoe,1003,19750,3,699,212,487,52,0.5021459227467812,295,0.472
horseshoe,1003,19750,5,699,212,487,15,0.82689556509299,311,0.4976
horseshoe,1003,19750,10,699,212,487,5,0.977110157367668,331,0.5296
horseshoe,1003,19750,20,699,212,487,1,1.0,406,0.6496
horseshoe,1003,19750,30,699,212,487,1,1.0,449,0.7184
horseshoe,1003,20000,3,701,212,489,63,0.3880171184022825,293,0.4688
horseshoe,1003,20000,5,701,212,489,14,0.8787446504992867,306,0.4896
horseshoe,1003,20000,10,701,212,489,6,0.9728958630527818,328,0.5248
horseshoe,1003,20000,20,701,212,489,1,1.0,406,0.6496
horseshoe,1003,20000,30,701,212,489,1,1.0,449,0.7184
horseshoe,1004,10000,3,585,93,492,35,0.4017094017094017,150,0.24
horseshoe,1004,10000,5,585,93,492,14,0.9179487179487179,179,0.2864
horseshoe,1004,10000,10,585,93,492,5,0.9880341880341881,220,0.352
horseshoe,1004,10000,20,585,93,492,3,0.9965811965811966,289,0.4624
horseshoe,1004,10000,30,585,93,492,3,0.9965811965811966,341,0.5456
