map,seed,k,point_count,total_pair_count,finite_pair_count,disconnected_pair_count,finite_pair_fraction,component_count,largest_component_fraction,mean_euclidean_all_pairs,mean_euclidean_finite_pairs,mean_knn_geodesic_finite_pairs,ratio_mean_geodesic_to_mean_euclidean,mean_per_pair_geodesic_to_euclidean_ratio,median_per_pair_geodesic_to_euclidean_ratio,p90_per_pair_geodesic_to_euclidean_ratio,p95_per_pair_geodesic_to_euclidean_ratio,max_per_pair_geodesic_to_euclidean_ratio
horseshoe,1003,3,400,79800,75493,4307,0.9460275689223058,3,0.9725,9.598699636245103,9.66840381714518,16.05808150303488,1.6608823759056024,1.7944668662411878,1.5295133670021954,2.4908690582102047,3.056319757663145,104.09604906015757
horseshoe,1003,5,400,79800,79800,0,1.0,1,1.0,9.598699636245103,9.598699636245103,11.699922191747572,1.2189070014825927,1.218667634107235,1.1718481947344488,1.4300037106412173,1.552082024889413,5.457668601646984
horseshoe,1003,10,400,79800,79800,0,1.0,1,1.0,9.598699636245103,9.598699636245103,10.268915386142499,1.0698235985389764,1.0650912946670033,1.0449192843462685,1.1331173605727705,1.2007236459991002,2.643687414196845
horseshoe,1003,20,400,79800,79800,0,1.0,1,1.0,9.598699636245103,9.598699636245103,9.781376486744824,1.0190314164858254,1.0180345966189466,1.0115810714390203,1.041111113100179,1.0581847697599422,1.5945523519134883
horseshoe,1003,30,400,79800,79800,0,1.0,1,1.0,9.598699636245103,9.598699636245103,9.680608427610961,1.0085333216445869,1.0078137196183925,1.0041819577042304,1.0187057974058753,1.0279419830570096,1.4451281917281327
horseshoe,1004,3,400,79800,79800,0,1.0,1,1.0,10.781246898350371,10.781246898350371,19.30101905628825,1.7902399637319764,1.894127683589818,1.5660084994208159,2.8709091492413132,3.5307129362253966,25.51912724855595
horseshoe,1004,5,400,79800,79800,0,1.0,1,1.0,10.781246898350371,10.781246898350371,12.975640699156186,1.2035380342826187,1.2235658568266603,1.1612676194949496,1.4441776303871678,1.5915008168164917,5.375215601955607
horseshoe,1004,10,400,79800,79800,0,1.0,1,1.0,10.781246898350371,10.781246898350371,11.64251017658329,1.0798853125573722,1.0851351882029203,1.059944900993803,1.1780562981100873,1.242932308560569,3.573355339654666
horseshoe,1004,20,400,79800,79800,0,1.0,1,1.0,10.781246898350371,10.781246898350371,11.055630286889983,1.0254500607514698,1.0253232634727973,1.0145278550254648,1.061781167850972,1.0872544559166506,1.7712197451047076
horseshoe,1004,30,400,79800,79800,0,1.0,1,1.0,10.781246898350371,10.781246898350371,10.908316519583353,1.0117861711572922,1.0117931144181695,1.0055531600319332,1.0306627473778047,1.0442263338706363,1.5932869690602518
horseshoe,1005,3,400,79800,73975,5825,0.9270050125313283,3,0.9625,11.11255548735972,11.040988182661975,19.956857221532278,1.8075245522743322,2.031123111455513,1.7258793404465056,3.0676762249169736,3.797483934601669,41.38757179560826
horseshoe,1005,5,400,79800,79800,0,1.0,1,1.0,11.11255548735972,11.11255548735972,13.21602866197367,1.189287979439707,1.210727111295345,1.154024524702696,1.4114255741980848,1.5757302414414978,5.629725418678489
horseshoe,1005,10,400,79800,79800,0,1.0,1,1.0,11.11255548735972,11.11255548735972,11.677024524465137,1.0507956102219231,1.0555723148534921,1.041490426848751,1.1141092499037668,1.153536554502925,2.5288727637754276
horseshoe,1005,20,400,79800,79800,0,1.0,1,1.0,11.11255548735972,11.11255548735972,11.28441566522242,1.015465405599836,1.0165555366660441,1.010049064445874,1.0370402620143584,1.0542311618300821,2.0089708478145525
horseshoe,1005,30,400,79800,79800,0,1.0,1,1.0,11.11255548735972,11.11255548735972,11.193004827462504,1.0072394995187466,1.0076014223783625,1.0037812655641272,1.0184556760560373,1.0280002311702725,1.2947015641991182
open,1001,3,400,79800,32365,47435,0.40557644110275687,4,0.48,10.25074689855642,8.015392833011177,14.509985067231739,1.8102649950571057,1.934183249683778,1.4810023667593541,3.326581880391649,4.3042219014181935,20.94244829921566
open,1001,5,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,11.908823378180635,1.1617517724350133,1.1820991967225456,1.1412750905201396,1.339375875986107,1.465060551428646,4.484988586766099
open,1001,10,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,10.705719009171398,1.0443842887857324,1.0502872798103529,1.0368370956633988,1.103429845959575,1.1393447694693615,2.134395613029722
open,1001,20,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,10.389400822389009,1.0135262264501053,1.0148846241840608,1.008455271842374,1.0340889765060963,1.051849601392099,1.583559325021894
open,1001,30,400,79800,79800,0,1.0,1,1.0,10.25074689855642,10.25074689855642,10.309574105633587,1.0057388215375263,1.00622469873482,1.0032176674975242,1.015338573328721,1.0228148073322265,1.245435338682372
open,1002,3,400,79800,69729,10071,0.873796992481203,2,0.9325,12.645256941981918,11.982738141052165,20.41754694525009,1.7039133046979271,1.754460205389982,1.5991064385388714,2.4032951894913146,2.8128342319077015,25.912599768120607
open,1002,5,400,79800,79800,0,1.0,1,1.0,12.645256941981918,12.645256941981918,14.69828017548243,1.1623552010781633,1.1721386524518476,1.1448381825650045,1.3077377341164598,1.3975886268425792,3.633118797928263
open,1002,10,400,79800,79800,0,1.0,1,1.0,12.645256941981918,12.645256941981918,13.213126923935228,1.0449077456123486,1.046535790206809,1.0375319226044144,1.0901158412378158,1.1194904122933336,2.0093524467684305
open,1002,20,400,79800,79800,0,1.0,1,1.0,12.645256941981918,12.645256941981918,12.800042094316545,1.0122405699658616,1.0121124211463401,1.0083506888538363,1.0270503589496467,1.036421962734812,1.3159074374533706
open,1002,30,400,79800,79800,0,1.0,1,1.0,12.645256941981918,12.645256941981918,12.72528237471948,1.0063284940040942,1.0060712404127303,1.0034053094730324,1.0145784782419904,1.0212806969361172,1.2463303903454979
open,1003,3,400,79800,73656,6144,0.9230075187969925,2,0.96,10.591552001009429,9.659998580727622,17.051502876367568,1.7651661885734142,2.048923968779515,1.6672812629155915,3.1771060193355014,4.06845033768386,52.633785566538606
open,1003,5,400,79800,79800,0,1.0,1,1.0,10.591552001009429,10.591552001009429,12.602644696876746,1.189877054436937,1.226600757206005,1.167226239132458,1.428193843344324,1.5996983421367925,6.439474939327993
open,1003,10,400,79800,79800,0,1.0,1,1.0,10.591552001009429,10.591552001009429,11.184439041554738,1.0559773525625709,1.0662830935937249,1.0451151806305026,1.1390210933758655,1.1957743113546393,2.322722921816038
open,1003,20,400,79800,79800,0,1.0,1,1.0,10.591552001009429,10.591552001009429,10.723961961889298,1.012501469177251,1.0151336058186968,1.008223551685989,1.035524340701121,1.052578768759275,1.7440856588620766
open,1003,30,400,79800,79800,0,1.0,1,1.0,10.591552001009429,10.591552001009429,10.656016281243218,1.0060863866058198,1.007148544924423,1.003114925468763,1.0178323567790648,1.0271136279205806,1.5084397388859776
