map,seed,snapshot_evaluation,encoder_space,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction,support_finite_pair_fraction,support_mean_euclidean_finite,support_mean_geodesic_finite,support_geodesic_to_euclidean_ratio
horseshoe,1002,10000,final_one_retrain_encoder,3,631,143,488,46,0.7147385103011094,216,0.3456,0.17748496460019794,10.549022643019086,18.62065585669687,1.7651546012197883
horseshoe,1002,10000,final_one_retrain_encoder,5,631,143,488,11,0.9477020602218701,242,0.3872,0.39239348339127567,14.831565883322051,20.06438666856513,1.3528164744308848
horseshoe,1002,10000,final_one_retrain_encoder,10,631,143,488,2,0.9984152139461173,272,0.4352,0.505408937498414,17.397266843466717,19.197463513858928,1.1034758325310305
horseshoe,1002,10000,final_one_retrain_encoder,20,631,143,488,2,0.9984152139461173,350,0.56,0.5891973507244905,19.26490265584605,20.10373459669158,1.0435419766105583
horseshoe,1002,10000,final_one_retrain_encoder,30,631,143,488,2,0.9984152139461173,398,0.6368,0.6395830689978937,20.243511949855495,20.883402191761835,1.0316096457715138
horseshoe,1002,20000,final_one_retrain_encoder,3,696,208,488,57,0.3031609195402299,260,0.416,0.061521345170096116,7.460699786099606,12.636576893450977,1.693752229113253
horseshoe,1002,20000,final_one_retrain_encoder,5,696,208,488,14,0.9109195402298851,288,0.4608,0.408036840777189,16.241537331977696,21.096498321977133,1.2989225028865083
horseshoe,1002,20000,final_one_retrain_encoder,10,696,208,488,3,0.9956896551724138,325,0.52,0.5719312733695777,20.042582489043873,22.244832579339622,1.1098785593872242
horseshoe,1002,20000,final_one_retrain_encoder,20,696,208,488,2,0.9971264367816092,401,0.6416,0.6710320464294727,21.978641113177627,22.9762186315812,1.0453884984638773
horseshoe,1002,20000,final_one_retrain_encoder,30,696,208,488,1,1.0,472,0.7552,0.7816943087192898,24.11959258873103,25.040307937675614,1.0381729229280081
horseshoe,1003,2000,pre_retrain_encoder,3,585,119,466,62,0.6341880341880342,204,0.3264,0.1164762900833282,3.59796572946548,6.647832977734853,1.8476643407947266
horseshoe,1003,2000,pre_retrain_encoder,5,585,119,466,24,0.9128205128205128,243,0.3888,0.290702650233442,8.501265925299721,13.909630754631312,1.636183466892422
horseshoe,1003,2000,pre_retrain_encoder,10,585,119,466,8,0.9846153846153847,291,0.4656,0.4498410680228862,12.939170713055326,15.038706185572387,1.1622619810092372
horseshoe,1003,2000,pre_retrain_encoder,20,585,119,466,2,0.9914529914529915,350,0.56,0.5347565435541975,15.10856155978474,16.233819381428596,1.0744781571158313
horseshoe,1003,2000,pre_retrain_encoder,30,585,119,466,1,1.0,419,0.6704,0.6883716479024397,18.755663483306094,20.273377260279347,1.0809202925998393
horseshoe,1003,10000,final_one_retrain_encoder,3,621,128,493,51,0.5877616747181964,229,0.3664,0.11628149838519407,7.094740199940214,11.70789015346624,1.6502211248785261
horseshoe,1003,10000,final_one_retrain_encoder,5,621,128,493,14,0.9452495974235104,235,0.376,0.36502865394160916,12.192679329712588,15.321604947187542,1.2566233009876682
horseshoe,1003,10000,final_one_retrain_encoder,10,621,128,493,6,0.9855072463768116,264,0.4224,0.44943175591612033,14.626473055775293,16.042614189076307,1.0968204110383157
horseshoe,1003,10000,final_one_retrain_encoder,20,621,128,493,3,0.9967793880837359,363,0.5808,0.5660871415034133,17.201991317454105,18.004387346789912,1.0466455315857328
horseshoe,1003,10000,final_one_retrain_encoder,30,621,128,493,3,0.9967793880837359,426,0.6816,0.6202775790159031,18.316559145561182,18.87755238428931,1.0306276541499924
horseshoe,1003,20000,final_one_retrain_encoder,3,701,212,489,63,0.3880171184022825,293,0.4688,0.07123139531574604,7.340657349443247,12.905577441179616,1.7580956073584393
