cell_x,cell_y,fitness,descriptor_x,descriptor_y,steps,food_collected,wall_collisions,hazard_contacts
4,6,27.34999999999993,-0.6039330035865019,-0.48380678207891836,280,7,6,4
4,7,24.31999999999992,-0.6272016901190793,-0.4307480168891075,280,7,2,18
4,8,26.404999999999912,-0.6544157378238729,-0.3089937485559738,280,7,0,1
4,9,24.249999999999908,-0.6064842862233428,-0.27609506203163847,280,6,4,3
4,10,26.97499999999996,-0.6457174953415789,-0.15859051059732704,280,7,6,4
4,11,24.649999999999945,-0.649140354577174,-0.09639168894485342,280,6,4,0
4,12,22.71499999999994,-0.6152273160967309,-0.035201485384567216,280,6,5,18
4,13,24.15499999999992,-0.6201059088491803,0.056066712355093855,280,6,5,0
4,14,27.85499999999992,-0.6590988627346203,0.1230359070665272,280,7,3,0
4,16,23.674999999999947,-0.6138383179442934,0.35527494866762366,280,6,6,5
4,17,28.104999999999958,-0.622021827124709,0.4069700471685805,280,7,6,5
4,18,24.04999999999995,-0.6745755185307452,0.507067920953199,280,6,5,0
4,19,27.249999999999915,-0.6644912569260711,0.5705720803221627,280,7,2,7
4,20,28.30999999999994,-0.67318879451282,0.619899984128781,280,7,5,3
4,21,24.339999999999936,-0.6256194209950021,0.73150826723104,280,6,4,3
4,22,23.109999999999953,-0.6465562250364311,0.7958613382842031,280,6,4,6
4,23,25.32999999999994,-0.6066121766720204,0.8686019017906146,280,6,13,0
4,24,24.039999999999946,-0.6205101844485589,0.9532105918087921,280,6,8,4
5,0,24.379999999999946,-0.524317694603837,-0.9351013937533956,280,6,13,0
5,1,25.769999999999932,-0.5344340396334789,-0.8527484419886245,280,7,6,6
5,2,20.86999999999992,-0.5318440247463501,-0.760667844287559,280,5,8,0
5,3,27.114999999999927,-0.5296870665456993,-0.6895042152139481,280,7,11,0
5,4,26.09499999999992,-0.5876157842231772,-0.6139540004161962,280,7,1,6
5,5,27.13999999999993,-0.5566325205360635,-0.5705935044669787,280,7,4,5
5,6,26.2999999999999,-0.5234673939822023,-0.5120621766847617,280,7,2,0
5,7,22.569999999999915,-0.5328689958792636,-0.41521392819184777,280,6,16,4
5,8,25.74499999999995,-0.5509395647402078,-0.28276887878911144,280,6,5,0
5,9,21.75999999999993,-0.5659850824664641,-0.26714371111536916,280,5,7,0
5,10,25.929999999999954,-0.5618741025780121,-0.17295065920432035,280,6,4,3
5,11,23.544999999999945,-0.5864498036978204,-0.09727904823524616,280,6,4,9
5,12,19.51499999999992,-0.5705343895108388,0.00027149362553126333,280,5,6,0
5,13,20.24,-0.5701180833217456,0.04282125292347224,280,4,13,0
5,14,24.53499999999993,-0.5253324400030414,0.14936659600322447,280,6,9,4
5,16,27.389999999999944,-0.5684365222806766,0.3079552940144733,280,7,10,10
5,17,24.269999999999953,-0.5661454691356529,0.3987229869631302,280,6,4,8
5,18,28.27999999999994,-0.5405570233537578,0.4989505257196062,280,7,3,4
5,19,26.699999999999957,-0.5854048403859997,0.5497139864338518,280,7,4,13
5,20,23.904999999999934,-0.5275473060462265,0.624175947107084,280,6,7,3
5,21,24.58499999999993,-0.5220033819144964,0.6902898205311688,280,6,3,0
5,22,23.42499999999996,-0.5901926587432458,0.7677308253937692,280,6,4,3
5,23,19.654999999999923,-0.5372371053990422,0.9163733243889766,280,5,4,0
5,24,23.79999999999994,-0.5444108460107185,0.9382213392810896,280,6,9,0
6,0,26.14499999999998,-0.44794527803811174,-0.9522286326337558,280,7,9,3
6,1,29.10499999999996,-0.5181805920426164,-0.895762999025246,280,7,8,3
6,2,22.184999999999953,-0.5117600894133978,-0.8217306804201105,280,5,11,0
6,3,23.724999999999966,-0.4902501265624445,-0.6955893440438131,280,6,3,0
6,4,25.34999999999996,-0.4708025889599544,-0.6138507283788491,280,6,10,4
6,5,28.069999999999958,-0.48153716802959196,-0.5710917024617559,280,7,5,3
6,6,24.514999999999944,-0.49958382700834053,-0.5073788605104339,280,6,2,0
6,7,25.979999999999958,-0.4427204067897912,-0.3613023146960211,280,7,8,5
6,8,24.989999999999963,-0.483409070252446,-0.2921444058909074,280,6,4,7
6,9,23.45499999999994,-0.5053312049475904,-0.23586920700153227,280,6,5,13
6,10,19.339999999999943,-0.49339363095840705,-0.18462659054418515,280,5,4,17
6,11,25.074999999999964,-0.517083570672961,-0.0967226632547055,280,6,4,0
6,12,24.589999999999915,-0.4511966289696064,-0.03275890691045344,280,6,5,3
6,13,25.039999999999964,-0.44698018714398097,0.08012860813989146,280,6,9,0
6,14,24.534999999999936,-0.4485368216556893,0.14713410632837937,280,6,4,0
6,16,27.659999999999926,-0.5071332971020996,0.3119400790713797,280,7,7,1
6,17,24.479999999999947,-0.4791214543061864,0.4061626536961501,280,6,3,0
6,18,27.879999999999942,-0.4785828874045621,0.5093972010208221,280,7,2,9
6,19,27.464999999999957,-0.4851204231758982,0.5624194300596062,280,7,17,8
6,20,24.784999999999926,-0.44844493019296405,0.6338561727253454,280,6,4,5
6,21,27.10499999999996,-0.47649819284822703,0.6890439499309761,280,7,4,13
6,22,26.599999999999945,-0.48641267558726914,0.7779831556480363,280,7,8,3
6,23,24.59999999999995,-0.5160157219729504,0.8570093750504746,280,6,6,0
6,24,21.31499999999998,-0.4630560575455436,0.9645592093926888,280,5,6,4
7,0,24.69999999999995,-0.41917617362960663,-0.971309186727268,280,6,3,2
7,1,24.044999999999952,-0.37157522593156517,-0.8764645076018553,280,6,4,4
7,2,25.579999999999952,-0.39262791531148994,-0.7708244065884189,280,6,6,4
7,3,25.414999999999935,-0.4186383090298624,-0.6856448708344831,280,6,2,3
7,4,27.509999999999945,-0.433141574877596,-0.6438699830881348,280,7,6,0
7,5,20.174999999999898,-0.41541062354444047,-0.5749102611212269,280,5,0,6
7,6,21.624999999999932,-0.38213760723904466,-0.45967739036714883,280,5,7,0
7,7,28.324999999999957,-0.38552057454698113,-0.4072863329858281,280,7,6,1
7,8,23.814999999999916,-0.4131592891677788,-0.3547837174693723,280,6,2,10
7,9,25.149999999999935,-0.3780116319930018,-0.27382567772941246,280,6,4,3
7,10,27.309999999999967,-0.41745480029919285,-0.1693276423901543,280,7,13,0
7,11,24.144999999999968,-0.39584397623666073,-0.07915311983849349,280,6,6,3
7,12,24.019999999999882,-0.3895496871513918,-0.0045416109438933955,280,6,0,3
7,13,27.34499999999994,-0.3745909223713893,0.11050287572749819,280,7,1,4
7,14,23.569999999999904,-0.38509977533415324,0.13771318024107004,280,6,2,0
7,15,23.60499999999991,-0.41371566451488445,0.25254254662503217,280,6,10,0
7,16,24.724999999999923,-0.3632490570555071,0.3495636794215891,280,6,2,3
7,17,28.039999999999928,-0.41783826187473194,0.3796195997161529,280,7,5,3
7,18,28.284999999999936,-0.4069177126748461,0.49806089295860884,280,7,7,3
7,19,21.40499999999995,-0.3961964168994686,0.5576292757184653,280,5,2,0
7,20,23.424999999999958,-0.38223252319301587,0.6539522628103415,280,6,8,7
7,21,23.109999999999957,-0.4326463136058576,0.7293569235857618,280,6,10,9
7,22,20.409999999999933,-0.43354661386922844,0.79870661836879,280,5,5,14
7,23,20.309999999999935,-0.3780332366387056,0.8588740704587579,280,5,6,3
7,24,23.044999999999987,-0.43702802301783883,0.9680945708357166,280,5,10,3
8,0,24.144999999999953,-0.33297058569521315,-0.9660787315130451,280,6,4,3
8,1,25.839999999999947,-0.34150543679133144,-0.8661647801590453,280,6,3,2
8,2,24.28999999999996,-0.30734087729222304,-0.8235882537761541,280,6,13,0
8,3,23.66999999999993,-0.3152997857699155,-0.692718421442131,280,6,7,10
8,4,22.619999999999955,-0.30538779998868215,-0.6352045599769031,280,5,6,3
8,5,20.749999999999925,-0.28685777636357945,-0.5971464932660826,280,5,3,7
8,6,27.314999999999944,-0.2935379726950564,-0.4819103897649634,280,7,3,9
8,7,24.409999999999936,-0.35932232925276153,-0.38651178032879624,280,6,5,0
