evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
4000,log,175,0.28,3227.8399999999956,2352.839999999996,-5.0,26.084999999999972,13.444799999999978,0.802265488780542,21.193670961478887,23.20871354463089,5,1.0,0
4100,log,177,0.2832,3296.7229999999954,2411.7229999999954,-5.0,26.084999999999972,13.625553672316359,0.8040306638398781,nan,nan,5,nan,-1
4200,log,178,0.2848,3324.142999999996,2434.1429999999955,-5.0,26.084999999999972,13.674960674157278,0.8049057857807015,nan,nan,5,nan,-1
4300,log,180,0.288,3389.582999999996,2489.582999999995,-5.0,26.084999999999972,13.83101666666664,0.8066413762796892,nan,nan,5,nan,-1
4400,log,180,0.288,3398.7319999999954,2498.7319999999954,-5.0,26.084999999999972,13.881844444444418,0.8066413762796892,nan,nan,5,nan,-1
4500,log,181,0.2896,3441.6439999999957,2536.6439999999957,-5.0,26.084999999999972,14.014607734806606,0.8075019531824721,nan,nan,5,nan,-1
4600,log,184,0.2944,3528.6529999999957,2608.6529999999952,-5.0,26.084999999999972,14.177461956521713,0.8100554419216398,nan,nan,5,nan,-1
4700,log,184,0.2944,3532.8359999999952,2612.8359999999952,-5.0,26.084999999999972,14.200195652173887,0.8100554419216398,nan,nan,5,nan,-1
4800,log,185,0.296,3579.090999999995,2654.090999999995,-5.0,26.084999999999972,14.34643783783781,0.8108973612382323,nan,nan,5,nan,-1
4900,log,187,0.2992,3641.335999999995,2706.335999999995,-5.0,26.084999999999972,14.47238502673794,0.8125676325318916,nan,nan,5,nan,-1
5000,log,192,0.3072,3796.7129999999947,2836.7129999999947,-5.0,26.084999999999972,14.774546874999972,0.8166663857315859,22.925991711126564,25.600256878832013,5,1.0,0
5100,log,192,0.3072,3802.791999999995,2842.791999999995,-5.0,26.084999999999972,14.806208333333307,0.8166663857315859,nan,nan,5,nan,-1
5200,log,195,0.312,3872.8179999999948,2897.8179999999948,-5.0,26.084999999999972,14.860605128205101,0.819074708913267,nan,nan,5,nan,-1
5300,log,197,0.3152,3913.3089999999947,2928.3089999999947,-5.0,26.889999999999922,14.864512690355303,0.8206597607651288,nan,nan,5,nan,-1
5400,log,198,0.3168,3954.3669999999947,2964.3669999999947,-5.0,29.264999999999905,14.971550505050478,0.8214462623625854,nan,nan,5,nan,-1
