seed,evaluation,graph_state_evaluation,latent_0,latent_1,fitness,source,actual_run_inserted,actual_run_replaced,actual_run_cell_x,actual_run_cell_y,euclidean_centroid_index,euclidean_cell_x,euclidean_cell_y,geodesic_centroid_index,geodesic_cell_x,geodesic_cell_y,assignment_disagrees,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,synthetic_like_large_blowup_ratio_ge_2,synthetic_like_very_large_blowup_ratio_ge_5,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness
1003,15614,15500,-0.7369738817214966,-1.8336522579193115,12.554999999999934,mutated_elite,False,False,11,14,289,11,14,289,11,14,False,0.6341478564080463,0.6341478564080463,0.634788350534844,0.634788350534844,0.0,1.0,0.0,False,False,True,22.939999999999927,-10.384999999999993,True,22.939999999999927,-10.384999999999993
1003,15615,15500,-0.36994796991348267,8.845114707946777,-2.8330000000000015,mutated_elite,False,False,11,18,293,11,18,293,11,18,False,0.8517659794820502,0.8517659794820502,0.936527725053717,0.936527725053717,0.0,1.0,0.0,False,False,True,3.4179999999999984,-6.2509999999999994,True,3.4179999999999984,-6.2509999999999994
1003,15616,15500,-2.0759994983673096,0.26516193151474,6.328999999999996,mutated_elite,False,False,10,15,265,10,15,265,10,15,False,0.4305679958946179,0.4305679958946179,0.7321896527431146,0.7321896527431146,0.0,1.0,0.0,False,False,True,21.589999999999986,-15.260999999999989,True,21.589999999999986,-15.260999999999989
1003,15617,15500,8.149097442626953,-5.352917671203613,15.522999999999989,mutated_elite,False,False,15,13,388,15,13,388,15,13,False,1.2760831359328801,1.2760831359328801,1.547750540282708,1.547750540282708,0.0,1.0,0.0,False,False,True,17.56199999999996,-2.0389999999999695,True,17.56199999999996,-2.0389999999999695
1003,15618,15500,8.148202896118164,-5.155517578125,9.029000000000002,mutated_elite,False,False,15,13,388,15,13,388,15,13,False,1.1473268847831375,1.1473268847831375,1.6405523224722742,1.6405523224722742,0.0,1.0,0.0,False,False,True,17.56199999999996,-8.532999999999957,True,17.56199999999996,-8.532999999999957
1003,15619,15500,-14.916203498840332,-10.671679496765137,24.779999999999955,mutated_elite,False,False,5,11,136,5,11,136,5,11,False,1.5968239307231114,1.5968239307231114,1.6527672702997491,1.6527672702997491,0.0,1.0,0.0,False,False,True,26.049999999999947,-1.2699999999999925,True,26.049999999999947,-1.2699999999999925
1003,15620,15500,14.456655502319336,-3.380244016647339,9.073999999999995,mutated_elite,False,False,17,13,438,17,13,438,17,13,False,1.3484113874008206,1.3484113874008206,1.613568862906782,1.613568862906782,0.0,1.0,0.0,False,False,True,15.654999999999953,-6.580999999999959,True,15.654999999999953,-6.580999999999959
1003,15621,15500,-0.021265745162963867,0.5678932070732117,8.197999999999999,mutated_elite,False,False,11,15,290,11,15,290,11,15,False,0.09946758601556861,0.09946758601556861,0.22392980570035642,0.22392980570035642,0.0,1.0,0.0,False,False,True,23.094999999999985,-14.896999999999986,True,23.094999999999985,-14.896999999999986
1003,15622,15500,1.5411745309829712,4.829683780670166,3.0369999999999995,mutated_elite,False,False,12,17,317,12,17,317,12,17,False,0.9495289263197272,0.9495289263197272,1.0232724021994435,1.0232724021994435,0.0,1.0,0.0,False,False,True,19.81499999999998,-16.77799999999998,True,19.81499999999998,-16.77799999999998
1003,15623,15500,13.928555488586426,9.236806869506836,6.830999999999991,mutated_elite,False,False,17,18,443,17,18,443,17,18,False,1.236759565824637,1.236759565824637,1.236759566979003,1.236759566979003,0.0,1.0,0.0,False,False,True,9.154999999999976,-2.3239999999999856,True,9.154999999999976,-2.3239999999999856
